EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.17028073,0.00100000,64,486,50,dgru,8,29222.14084540,34237.03125000,0.00015822123,0.00002937,0.03347351,28441.61914062,0.00025254145,-0.00007992,0.02596773
1,100,0.34259382,0.00100000,64,486,50,dgru,8,29218.87587780,34236.44140625,0.00015298088,0.00014487,0.03358819,28441.93750000,0.0003381125,-0.00026441,0.02593231
2,100,0.50827632,0.00100000,64,486,50,dgru,8,29219.25081338,34235.83203125,0.00011588533,0.00002861,0.03370895,28441.96093750,0.00031397562,-0.00022030,0.02584772
3,100,0.67386231,0.00100000,64,486,50,dgru,8,29228.11465157,34236.46875000,0.00022233737,-0.00023514,0.03361012,28443.39648438,0.00061117986,-0.00034039,0.02559890
4,100,0.83999542,0.00100000,64,486,50,dgru,8,29217.35952420,34237.15625000,0.00029929433,-0.00032627,0.03350899,28442.97460938,0.00055150007,-0.00035807,0.02548343
5,100,1.00484901,0.00100000,64,486,50,dgru,8,29222.68311564,34237.87890625,0.00043196967,-0.00068595,0.03312302,28443.65820312,0.000571117,-0.00040757,0.02528175
6,100,1.17096233,0.00100000,64,486,50,dgru,8,29214.09277429,34238.44531250,0.00054414663,-0.00087250,0.03306016,28443.50000000,0.0005413545,-0.00040733,0.02516695
7,100,1.33650153,0.00100000,64,486,50,dgru,8,29221.09369914,34238.04296875,0.00039437055,-0.00041446,0.03354843,28443.57226562,0.000533888,-0.00036785,0.02510113
8,100,1.50202707,0.00100000,64,486,50,dgru,8,29218.11821365,34237.56250000,0.00031775903,-0.00032698,0.03344787,28442.94335938,0.00054753944,-0.00029765,0.02514334
9,100,1.66750369,0.00100000,64,486,50,dgru,8,29218.14069366,34237.76171875,0.00040601555,-0.00058475,0.03321490,28443.71289062,0.0005871667,-0.00038547,0.02505241
10,100,1.83380648,0.00100000,64,486,50,dgru,8,29218.17097092,34237.93359375,0.00039499346,-0.00041996,0.03343695,28443.33007812,0.00059019774,-0.00026344,0.02518854
11,100,1.99925355,0.00100000,64,486,50,dgru,8,29212.63321177,34237.11328125,0.0003115096,-0.00052350,0.03319426,28444.37500000,0.00061529723,-0.00051342,0.02507334
12,100,2.16397965,0.00100000,64,486,50,dgru,8,29220.41439819,34237.19140625,0.0002817512,-0.00054429,0.03306206,28443.58789062,0.00058959774,-0.00053635,0.02514238
