EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.16413151,0.00100000,64,382,50,dgru_abs_only,8,29150.46991497,34173.48828125,-0.00894924,0.00832069,0.04361507,28377.39062500,-0.012449784,0.00934913,0.03765206
1,100,0.32829700,0.00100000,64,382,50,dgru_abs_only,8,29073.78584544,34161.20703125,-0.010553771,0.00877125,0.04467600,28371.63085938,-0.012557419,0.00942635,0.03779224
2,100,0.49222733,0.00100000,64,382,50,dgru_abs_only,8,29064.96818839,34151.36328125,-0.011747766,0.01007362,0.04701260,28363.10156250,-0.013613521,0.01146599,0.03963150
3,100,0.65692587,0.00100000,64,382,50,dgru_abs_only,8,29061.02585941,34150.39453125,-0.012216158,0.01095182,0.04622211,28358.14648438,-0.014785546,0.01334484,0.04269213
4,100,0.82124198,0.00100000,64,382,50,dgru_abs_only,8,29056.48015637,34155.19531250,-0.0118143195,0.01001642,0.04644154,28362.20898438,-0.014043504,0.01228890,0.04078132
5,100,0.98530138,0.00100000,64,382,50,dgru_abs_only,8,29071.90707270,34160.76171875,-0.010729182,0.00944264,0.04668730,28364.95117188,-0.013221944,0.01278413,0.04189699
6,100,1.14903298,0.00100000,64,382,50,dgru_abs_only,8,29053.50792652,34162.53515625,-0.010726145,0.00838009,0.04563894,28366.97070312,-0.013842383,0.01179503,0.04084027
7,100,1.31282765,0.00100000,64,382,50,dgru_abs_only,8,29058.13757536,34160.69921875,-0.010820284,0.00831434,0.04550312,28364.58398438,-0.013950574,0.01232542,0.04161385
8,100,1.47697911,0.00100000,64,382,50,dgru_abs_only,8,29055.43846597,34157.29296875,-0.011085807,0.00918950,0.04629621,28362.11132812,-0.014451262,0.01269325,0.04221234
9,100,1.64071235,0.00100000,64,382,50,dgru_abs_only,8,29052.78550551,34168.09765625,-0.009330942,0.00683979,0.04232986,28373.52539062,-0.011785211,0.01081819,0.03987508
10,100,1.80559247,0.00100000,64,382,50,dgru_abs_only,8,29059.92442703,34157.33984375,-0.011276681,0.00861279,0.04449291,28370.70117188,-0.012673482,0.01126617,0.03972545
11,100,1.96921241,0.00100000,64,382,50,dgru_abs_only,8,29051.37871509,34158.40234375,-0.010952069,0.00861002,0.04444064,28374.79882812,-0.011733417,0.01004911,0.03853648
12,100,2.13291306,0.00100000,64,382,50,dgru_abs_only,8,29059.22790739,34165.82421875,-0.00992749,0.00811310,0.04304948,28380.35742188,-0.010783075,0.00938476,0.03684281
13,100,2.29634530,0.00100000,64,382,50,dgru_abs_only,8,29058.97723897,34157.26953125,-0.011027622,0.00867657,0.04481632,28372.85351562,-0.011854243,0.01075537,0.03854402
14,100,2.46042240,0.00100000,64,382,50,dgru_abs_only,8,29052.85207748,34156.70703125,-0.010737796,0.00993188,0.04692508,28371.78906250,-0.012502998,0.01093858,0.03869963
15,100,2.62590426,0.00100000,64,382,50,dgru_abs_only,8,29053.77747345,34149.17578125,-0.011979274,0.01126960,0.04754659,28372.33007812,-0.012588711,0.01048509,0.03790317
16,100,2.79049983,0.00100000,64,382,50,dgru_abs_only,8,29051.80448193,34152.73828125,-0.01148444,0.01037732,0.04615498,28376.97851562,-0.011990947,0.00909870,0.03636173
17,100,2.95467891,0.00100000,64,382,50,dgru_abs_only,8,29052.62678613,34150.09765625,-0.011714451,0.01136667,0.04694851,28375.92187500,-0.011963793,0.01143210,0.03797798
18,100,3.11865276,0.00100000,64,382,50,dgru_abs_only,8,29052.13883294,34147.67187500,-0.012020519,0.01129975,0.04735167,28364.51367188,-0.013941092,0.01249203,0.03975564
19,100,3.28226562,0.00100000,64,382,50,dgru_abs_only,8,29054.21013599,34150.29296875,-0.011915233,0.01150317,0.04765564,28364.10937500,-0.01339338,0.01304498,0.04020427
20,100,3.44550976,0.00100000,64,382,50,dgru_abs_only,8,29054.21393331,34145.53515625,-0.012364907,0.01205529,0.04825868,28359.55468750,-0.014068456,0.01451500,0.04256993
21,100,3.61019055,0.00050000,64,382,50,dgru_abs_only,8,29056.65294351,34147.10546875,-0.0124376435,0.01196199,0.04795236,28365.28125000,-0.012996947,0.01364585,0.04197870
22,100,3.77377479,0.00050000,64,382,50,dgru_abs_only,8,29050.31636132,34143.00390625,-0.012778109,0.01230808,0.04847474,28360.07226562,-0.013743534,0.01479450,0.04309774
23,100,3.94743316,0.00050000,64,382,50,dgru_abs_only,8,29047.80521139,34148.51171875,-0.01233555,0.01175669,0.04837450,28363.80468750,-0.013416764,0.01414373,0.04231649
24,100,4.10903355,0.00050000,64,382,50,dgru_abs_only,8,29049.22925186,34143.83593750,-0.012893941,0.01209201,0.04891822,28353.45117188,-0.0151031595,0.01541867,0.04389252
25,100,4.27082760,0.00050000,64,382,50,dgru_abs_only,8,29066.66716936,34142.22265625,-0.013186178,0.01241807,0.04907619,28355.55664062,-0.014823973,0.01427189,0.04296848
26,100,4.43234233,0.00050000,64,382,50,dgru_abs_only,8,29049.54822074,34143.05078125,-0.013025319,0.01241413,0.04981522,28362.31054688,-0.013850133,0.01282345,0.04187193
27,100,4.59440433,0.00050000,64,382,50,dgru_abs_only,8,29047.60871548,34143.02734375,-0.013169263,0.01274843,0.05042593,28354.59960938,-0.01535389,0.01433419,0.04347955
28,100,4.75717452,0.00050000,64,382,50,dgru_abs_only,8,29049.01972622,34142.87109375,-0.0132952165,0.01258664,0.05079075,28354.03710938,-0.01511299,0.01471109,0.04441208
29,100,4.91900006,0.00050000,64,382,50,dgru_abs_only,8,29058.98598819,34143.53906250,-0.013490841,0.01190342,0.04972376,28360.60351562,-0.013400205,0.01240279,0.04201840
