EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.54001602,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
1,100,1.07893227,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
2,100,1.62227807,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
3,100,2.16687932,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
4,100,2.71316785,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
5,100,3.25773727,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
6,100,3.80449768,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
7,100,4.34768761,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
8,100,4.89663098,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
9,100,5.44765737,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
10,100,5.99164412,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
11,100,6.53802952,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
12,100,7.08429785,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
13,100,7.62869723,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
14,100,8.17341142,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
15,100,8.71507548,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
16,100,9.25797017,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
17,100,9.80595805,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
18,100,10.34344710,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
19,100,10.88664002,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
20,100,11.43057758,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
21,100,11.97557755,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
22,100,12.51853191,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
23,100,13.05784837,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
24,100,13.59121110,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
25,100,14.11767528,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
26,100,14.65052142,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
27,100,15.18336485,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
28,100,15.71178075,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
29,100,16.24336526,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
30,100,16.77629611,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
31,100,17.30349282,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
32,100,17.83155095,0.00025000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
33,100,18.36291702,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
34,100,18.89443753,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
35,100,19.42221583,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
36,100,19.95113348,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
37,100,20.48322125,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
38,100,21.01230498,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
39,100,21.54570023,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
40,100,22.07394130,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
41,100,22.60665043,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
42,100,23.13874850,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
43,100,23.66905201,0.00012500,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
44,100,24.20158262,0.00006250,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
45,100,24.73004392,0.00006250,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
46,100,25.26359417,0.00006250,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
