EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.15473230,0.00100000,64,306,50,gru,8,29121.61728541,34110.93359375,-0.017587554,0.01645506,0.05779723,28328.52539062,-0.01888069,0.01817175,0.05027772
1,100,0.30990686,0.00100000,64,306,50,gru,8,29061.21426561,34109.97265625,-0.017204195,0.01476159,0.05584815,28319.32226562,-0.019583235,0.01972688,0.05090326
2,100,0.46513320,0.00100000,64,306,50,gru,8,29055.71959008,34084.45703125,-0.021360323,0.01924857,0.06151822,28299.70312500,-0.023128536,0.02322494,0.05612820
3,100,0.61989863,0.00100000,64,306,50,gru,8,29059.54340998,34089.05859375,-0.020561714,0.01864220,0.06049750,28293.72851562,-0.023690237,0.02456767,0.05720945
4,100,0.77423203,0.00100000,64,306,50,gru,8,29055.82171165,34090.16406250,-0.020834006,0.01838071,0.06002338,28291.95117188,-0.023826363,0.02514859,0.05825717
5,100,0.93882083,0.00100000,64,306,50,gru,8,29059.16058138,34105.77734375,-0.018474074,0.01683964,0.05837848,28307.35937500,-0.021370668,0.02236025,0.05478821
6,100,1.09349513,0.00100000,64,306,50,gru,8,29054.21659258,34091.48828125,-0.02027061,0.02006497,0.06330373,28295.96875000,-0.023804832,0.02353245,0.05517243
7,100,1.24798635,0.00100000,64,306,50,gru,8,29054.48867586,34078.29296875,-0.022137856,0.02177222,0.06555121,28274.94335938,-0.027766556,0.02687809,0.05988454
8,100,1.40231853,0.00100000,64,306,50,gru,8,29057.62145445,34078.97265625,-0.022174828,0.02153262,0.06466247,28280.68750000,-0.027736776,0.02465097,0.05572994
9,100,1.55772678,0.00100000,64,306,50,gru,8,29051.00145170,34020.18750000,-0.030060025,0.02693374,0.06979431,28223.22460938,-0.03720244,0.03444869,0.06808485
10,100,1.71200314,0.00100000,64,306,50,gru,8,29058.96887249,34043.67187500,-0.026547601,0.02388367,0.06715132,28247.39648438,-0.033024125,0.03028905,0.06252679
11,100,1.86661987,0.00100000,64,306,50,gru,8,29059.74516890,34046.22265625,-0.026226044,0.02366022,0.06689709,28256.21289062,-0.03200881,0.02862014,0.06017911
12,100,2.02242382,0.00100000,64,306,50,gru,8,29053.45040978,34027.64453125,-0.02876369,0.02543294,0.06774231,28233.84375000,-0.03494761,0.03277281,0.06611342
13,100,2.17676551,0.00050000,64,306,50,gru,8,29051.87199656,34028.68750000,-0.0285917,0.02505048,0.06725148,28235.09960938,-0.034576338,0.03217264,0.06517582
14,100,2.33124920,0.00050000,64,306,50,gru,8,29055.48298306,34026.89453125,-0.028916491,0.02500026,0.06691825,28231.83007812,-0.035169642,0.03279044,0.06596857
15,100,2.48678018,0.00050000,64,306,50,gru,8,29051.51597850,34032.78906250,-0.027982,0.02454837,0.06669559,28238.40625000,-0.034037158,0.03170011,0.06464847
16,100,2.64184829,0.00050000,64,306,50,gru,8,29058.96516207,34035.46875000,-0.02767218,0.02417506,0.06684218,28243.81250000,-0.033429906,0.03089950,0.06311983
17,100,2.79679668,0.00050000,64,306,50,gru,8,29057.07308790,34023.96484375,-0.029263467,0.02541169,0.06691493,28229.95898438,-0.035504267,0.03302954,0.06586081
18,100,2.95176327,0.00050000,64,306,50,gru,8,29047.73099751,34026.51953125,-0.02898265,0.02499932,0.06632558,28232.41210938,-0.035009,0.03283253,0.06579232
19,100,3.10725668,0.00050000,64,306,50,gru,8,29052.02806176,34029.35156250,-0.028590236,0.02503206,0.06664302,28234.65039062,-0.03471076,0.03206246,0.06488299
20,100,3.26374503,0.00050000,64,306,50,gru,8,29053.66305627,34039.32421875,-0.027197426,0.02378190,0.06602790,28248.71875000,-0.032352842,0.03062465,0.06276249
21,100,3.41913004,0.00050000,64,306,50,gru,8,29053.08777915,34032.63671875,-0.02814219,0.02467242,0.06651165,28240.28320312,-0.03376349,0.03153759,0.06446373
22,100,3.57524593,0.00050000,64,306,50,gru,8,29050.27065616,34029.58203125,-0.028540209,0.02502988,0.06635875,28236.61523438,-0.03427377,0.03228958,0.06542658
23,100,3.73085425,0.00050000,64,306,50,gru,8,29066.77252240,34023.64453125,-0.029305179,0.02538740,0.06726757,28233.29101562,-0.035011806,0.03266789,0.06558796
24,100,3.88565845,0.00025000,64,306,50,gru,8,29049.10760795,34025.01171875,-0.029167473,0.02515625,0.06620594,28232.04882812,-0.03513359,0.03275037,0.06559493
25,100,4.04254293,0.00025000,64,306,50,gru,8,29054.36639192,34032.54687500,-0.028172318,0.02390007,0.06574000,28240.26757812,-0.033679694,0.03163850,0.06456787
26,100,4.19760900,0.00025000,64,306,50,gru,8,29052.18410365,34027.95703125,-0.028746106,0.02480543,0.06615216,28234.92382812,-0.034578394,0.03236774,0.06534106
27,100,4.35318741,0.00025000,64,306,50,gru,8,29049.91504033,34024.91015625,-0.029297862,0.02545489,0.06689443,28234.06445312,-0.034886453,0.03240777,0.06559946
28,100,4.50821387,0.00025000,64,306,50,gru,8,29056.99353451,34025.40234375,-0.029101528,0.02505975,0.06613813,28233.39257812,-0.034931846,0.03234761,0.06531049
29,100,4.66484577,0.00025000,64,306,50,gru,8,29048.52231089,34026.12890625,-0.028942425,0.02489631,0.06592612,28233.66992188,-0.034860857,0.03235783,0.06522412
30,100,4.82913866,0.00025000,64,306,50,gru,8,29056.37346819,34024.54296875,-0.029128565,0.02517590,0.06616424,28233.38867188,-0.034802906,0.03203410,0.06485049
31,100,4.99205215,0.00025000,64,306,50,gru,8,29056.35308202,34023.81250000,-0.029292298,0.02538023,0.06662911,28233.05273438,-0.034996055,0.03243812,0.06547086
32,100,5.16229059,0.00025000,64,306,50,gru,8,29050.05322266,34030.27734375,-0.028350592,0.02438203,0.06584483,28237.39257812,-0.034216188,0.03181925,0.06452144
33,100,5.32701293,0.00025000,64,306,50,gru,8,29051.00912560,34027.73046875,-0.028804146,0.02502634,0.06614094,28236.60937500,-0.034333095,0.03189969,0.06493220
34,100,5.48704800,0.00025000,64,306,50,gru,8,29049.49464417,34027.33593750,-0.028845271,0.02509065,0.06621600,28235.96289062,-0.03448604,0.03207697,0.06507518
35,100,5.64252417,0.00012500,64,306,50,gru,8,29050.24257702,34025.48437500,-0.029043745,0.02518658,0.06628299,28234.50000000,-0.034712594,0.03204399,0.06504407
36,100,5.80483390,0.00012500,64,306,50,gru,8,29049.89208815,34027.31250000,-0.028797774,0.02500420,0.06604059,28236.54101562,-0.034353044,0.03178616,0.06477393
37,100,5.96290700,0.00012500,64,306,50,gru,8,29052.02440770,34025.98437500,-0.028947867,0.02511454,0.06614394,28235.24804688,-0.03460791,0.03195012,0.06494727
38,100,6.12575578,0.00012500,64,306,50,gru,8,29052.33664915,34023.19921875,-0.029327666,0.02549713,0.06655275,28233.38867188,-0.034932196,0.03192821,0.06495355
39,100,6.29054160,0.00012500,64,306,50,gru,8,29055.56976276,34026.91796875,-0.02883898,0.02508476,0.06610291,28235.97851562,-0.03441598,0.03150398,0.06455452
40,100,6.45572807,0.00012500,64,306,50,gru,8,29049.19409349,34026.43750000,-0.029005598,0.02519721,0.06630631,28236.91406250,-0.034307934,0.03165865,0.06473264
41,100,6.61211135,0.00012500,64,306,50,gru,8,29046.77461751,34023.85546875,-0.029260024,0.02530603,0.06637625,28234.71875000,-0.034686692,0.03178183,0.06482261
42,100,6.77064803,0.00012500,64,306,50,gru,8,29048.41367255,34023.66796875,-0.029244842,0.02531455,0.06630156,28234.33593750,-0.034714323,0.03173060,0.06475931
43,100,6.94728781,0.00012500,64,306,50,gru,8,29065.73125076,34025.21484375,-0.02903774,0.02520221,0.06624551,28234.31835938,-0.034741424,0.03186110,0.06491105
44,100,7.11133685,0.00012500,64,306,50,gru,8,29048.71342807,34025.56250000,-0.02902521,0.02523685,0.06622543,28235.21875000,-0.034576427,0.03165148,0.06477388
45,100,7.28454911,0.00012500,64,306,50,gru,8,29046.86341137,34026.92578125,-0.028901346,0.02506780,0.06601225,28237.77343750,-0.03417901,0.03145070,0.06441461
46,100,7.44258282,0.00006250,64,306,50,gru,8,29048.20561006,34024.50390625,-0.029147461,0.02527562,0.06628475,28235.59375000,-0.034516227,0.03152770,0.06457215
47,100,7.59986448,0.00006250,64,306,50,gru,8,29058.01910570,34024.28515625,-0.029159,0.02525898,0.06625442,28234.57812500,-0.03471564,0.03162337,0.06468391
48,100,7.75993293,0.00006250,64,306,50,gru,8,29048.73381593,34027.82031250,-0.028732538,0.02490377,0.06580714,28238.38085938,-0.03399297,0.03118078,0.06416869
49,100,7.91673123,0.00006250,64,306,50,gru,8,29050.25079473,34022.77734375,-0.029328223,0.02534954,0.06628143,28233.68945312,-0.034773868,0.03152497,0.06456573
50,100,8.07210510,0.00006250,64,306,50,gru,8,29052.70430798,34025.66015625,-0.028998576,0.02509301,0.06601003,28236.09375000,-0.03439956,0.03131405,0.06436994
51,100,8.22566443,0.00006250,64,306,50,gru,8,29055.90067842,34025.76562500,-0.028948423,0.02508057,0.06604420,28235.79687500,-0.034450892,0.03149062,0.06455430
52,100,8.37935588,0.00006250,64,306,50,gru,8,29049.45333989,34024.06250000,-0.02912478,0.02523158,0.06613241,28234.69335938,-0.034632303,0.03136544,0.06434898
53,100,8.53303752,0.00006250,64,306,50,gru,8,29051.14471859,34022.16015625,-0.02940277,0.02540303,0.06637384,28233.22460938,-0.03487274,0.03172342,0.06475427
54,100,8.68793090,0.00006250,64,306,50,gru,8,29065.62236659,34022.19921875,-0.029355634,0.02523984,0.06618922,28232.78710938,-0.03487003,0.03197929,0.06482663
55,100,8.84133920,0.00006250,64,306,50,gru,8,29055.14424642,34023.35546875,-0.029227577,0.02531089,0.06628567,28234.47656250,-0.0346794,0.03134974,0.06440631
56,100,9.00362624,0.00006250,64,306,50,gru,8,29051.24750943,34025.12109375,-0.029018369,0.02515657,0.06603020,28236.04492188,-0.034403518,0.03114246,0.06420345
57,100,9.17488882,0.00003125,64,306,50,gru,8,29048.33704291,34023.48046875,-0.029226754,0.02528994,0.06625262,28234.63867188,-0.034634523,0.03136857,0.06446684
