EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.15754255,0.00100000,64,354,50,qgru,8,29216.60688633,34237.05859375,0.00015451966,-0.00000041,0.03346207,28441.34179688,0.00021406918,-0.00000134,0.02596851
1,100,0.32040658,0.00100000,64,354,50,qgru,8,29220.76436954,34237.05859375,0.00015531236,-0.00000051,0.03346151,28441.33789062,0.00021361618,-0.00000130,0.02596879
2,100,0.47912988,0.00100000,64,354,50,qgru,8,29222.31368679,34237.07031250,0.00015752869,-0.00000042,0.03346037,28441.32617188,0.00021081736,-0.00000060,0.02596959
3,100,0.63509202,0.00100000,64,354,50,qgru,8,29221.49464120,34237.06640625,0.00015568448,0.00000064,0.03346331,28441.33789062,0.00021277502,-0.00000034,0.02596855
4,100,0.79032037,0.00100000,64,354,50,qgru,8,29217.94844521,34237.07421875,0.00015678462,0.00000170,0.03346659,28441.33398438,0.00020976608,0.00000220,0.02596714
5,100,0.94657948,0.00100000,64,354,50,qgru,8,29233.93359968,34237.31640625,0.00018399453,-0.00001912,0.03346183,28441.08789062,0.00017370746,0.00001580,0.02597162
6,100,1.10191237,0.00100000,64,354,50,qgru,8,29216.28917821,34237.12109375,0.00016377322,-0.00000139,0.03346313,28441.33789062,0.00023786098,0.00001681,0.02597063
7,100,1.26018915,0.00100000,64,354,50,qgru,8,29221.27851147,34237.06250000,0.00015781989,-0.00000222,0.03346033,28441.31445312,0.00021130175,-0.00000614,0.02596893
8,100,1.41611045,0.00100000,64,354,50,qgru,8,29218.95745850,34237.11718750,0.00016071423,-0.00002347,0.03345464,28440.92773438,0.00013982254,0.00000226,0.02597352
9,100,1.57255390,0.00100000,64,354,50,qgru,8,29216.44438765,34237.23046875,0.00018916858,0.00000647,0.03345968,28441.41406250,0.00019147342,-0.00001719,0.02597269
10,100,1.72838763,0.00100000,64,354,50,qgru,8,29223.41768265,34237.08203125,0.00018849483,-0.00002712,0.03344941,28441.38476562,0.00026355998,-0.00001627,0.02597389
11,100,1.88446152,0.00100000,64,354,50,qgru,8,29214.84078640,34237.09375000,0.00016560088,0.00002166,0.03346305,28441.22851562,0.00019512282,0.00002009,0.02596721
12,100,2.04096423,0.00100000,64,354,50,qgru,8,29222.49805323,34236.89843750,0.00013386761,-0.00001518,0.03344715,28441.42187500,0.0002337388,-0.00003370,0.02596869
13,100,2.19689478,0.00100000,64,354,50,qgru,8,29222.32490836,34237.01562500,0.00013565474,-0.00000667,0.03345457,28441.14648438,0.00019729645,0.00001245,0.02597034
14,100,2.35659185,0.00100000,64,354,50,qgru,8,29215.82442220,34237.14843750,0.0001657457,-0.00001633,0.03346420,28441.50585938,0.0002351645,-0.00003937,0.02596682
15,100,2.52385097,0.00100000,64,354,50,qgru,8,29216.67062675,34237.81640625,0.0002616723,-0.00003080,0.03346010,28441.32617188,0.0002089293,-0.00009650,0.02597574
16,100,2.69270914,0.00100000,64,354,50,qgru,8,29215.06277593,34237.16796875,0.00016935437,0.00001229,0.03345905,28441.25000000,0.00020885697,0.00002260,0.02597123
17,100,2.85688890,0.00100000,64,354,50,qgru,8,29215.85782962,34237.03125000,0.00015557764,-0.00001600,0.03345109,28441.33593750,0.00021075126,-0.00000787,0.02596669
18,100,3.01832138,0.00100000,64,354,50,qgru,8,29215.32381778,34236.99609375,0.00014829045,0.00001098,0.03345269,28441.30468750,0.00019897414,0.00000393,0.02597055
19,100,3.18019725,0.00100000,64,354,50,qgru,8,29217.21471532,34236.95703125,0.00013584965,0.00000781,0.03345699,28441.39843750,0.00021740037,-0.00003159,0.02596753
20,100,3.34135414,0.00100000,64,354,50,qgru,8,29217.43688202,34237.16796875,0.00017305826,-0.00000755,0.03345639,28441.31445312,0.00020961891,0.00000920,0.02597204
21,100,3.50392460,0.00100000,64,354,50,qgru,8,29220.82151413,34236.94140625,0.0001295937,0.00002896,0.03346127,28440.75781250,0.00012715529,0.00003091,0.02597084
22,100,3.66636805,0.00050000,64,354,50,qgru,8,29214.03600566,34237.16796875,0.00017466005,-0.00000575,0.03345645,28441.29492188,0.00020782326,0.00000654,0.02597300
23,100,3.82905403,0.00050000,64,354,50,qgru,8,29211.46253883,34237.17187500,0.00016807616,0.00000813,0.03346897,28441.33398438,0.00018928459,0.00000058,0.02596738
24,100,3.99107485,0.00050000,64,354,50,qgru,8,29213.16548835,34237.16015625,0.0001576415,-0.00000173,0.03345093,28441.28125000,0.00021581675,-0.00000495,0.02597110
25,100,4.16180983,0.00050000,64,354,50,qgru,8,29230.44990073,34237.15234375,0.0001797235,0.00000370,0.03345834,28441.27539062,0.00019328039,-0.00002078,0.02597108
26,100,4.32938282,0.00050000,64,354,50,qgru,8,29213.32700560,34237.13671875,0.00014590414,-0.00002068,0.03346044,28441.32226562,0.00020578373,-0.00001316,0.02596751
27,100,4.51028255,0.00050000,64,354,50,qgru,8,29211.49817573,34236.93359375,0.00012877576,0.00001448,0.03345246,28440.82226562,0.00012423712,0.00001482,0.02596688
28,100,4.69308178,0.00050000,64,354,50,qgru,8,29212.90429815,34237.14453125,0.00016312601,-0.00001197,0.03347332,28441.39648438,0.00020812378,-0.00000028,0.02596544
29,100,4.87639557,0.00050000,64,354,50,qgru,8,29222.67952177,34237.23828125,0.00017239604,-0.00002863,0.03346001,28441.28710938,0.00020205631,-0.00003242,0.02596982
30,100,5.05454728,0.00050000,64,354,50,qgru,8,29213.41930347,34236.64062500,7.825134e-05,0.00003219,0.03344647,28441.49804688,0.0002483291,-0.00002660,0.02596598
31,100,5.22433643,0.00050000,64,354,50,qgru,8,29214.87830141,34237.01562500,0.00014151231,0.00002059,0.03345776,28441.21093750,0.00019644923,0.00000801,0.02597037
32,100,5.39222632,0.00050000,64,354,50,qgru,8,29217.23794259,34237.00781250,0.00014193277,0.00000144,0.03346116,28441.34179688,0.00020709677,-0.00000989,0.02597081
33,100,5.55861870,0.00025000,64,354,50,qgru,8,29220.35099792,34236.83203125,0.00012757344,0.00002713,0.03347522,28441.45507812,0.00024213266,-0.00006390,0.02596439
