EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.52248775,0.00100000,64,344,50,rvtdcnn,8,29218.93981213,34236.09375000,-1.6109534e-06,-0.00003223,0.03371443,28440.09179688,2.065835e-05,0.00010967,0.02627088
1,100,1.02638917,0.00100000,64,344,50,rvtdcnn,8,29220.04951901,34236.53125000,7.3263946e-05,-0.00007122,0.03342100,28440.88085938,0.0001289497,-0.00004530,0.02606481
2,100,1.52961905,0.00100000,64,344,50,rvtdcnn,8,29221.82500754,34236.32031250,9.896935e-05,-0.00005352,0.03311652,28441.59960938,0.00030163047,-0.00014247,0.02569745
3,100,2.03051982,0.00100000,64,344,50,rvtdcnn,8,29216.98811467,34239.94921875,0.000518694,-0.00050574,0.03247040,28443.75195312,0.0006002985,-0.00061924,0.02502421
4,100,2.53196142,0.00100000,64,344,50,rvtdcnn,8,29218.58981789,34237.25000000,0.00021911184,0.00005474,0.03360790,28442.61523438,0.0004850983,-0.00042383,0.02549367
5,100,3.05532673,0.00100000,64,344,50,rvtdcnn,8,29216.52154795,34238.75000000,0.00042198907,-0.00028524,0.03303773,28443.73632812,0.00061684387,-0.00050045,0.02521657
6,100,3.58419705,0.00100000,64,344,50,rvtdcnn,8,29234.78606245,34238.58984375,0.0003043558,-0.00028534,0.03289807,28442.92382812,0.00037838245,-0.00040886,0.02533897
7,100,4.11449151,0.00100000,64,344,50,rvtdcnn,8,29235.57834752,34238.62109375,0.000385998,-0.00040413,0.03258658,28443.41601562,0.00044833645,-0.00057306,0.02515133
8,100,4.64475357,0.00100000,64,344,50,rvtdcnn,8,29226.65481822,34237.68750000,0.00026079192,-0.00021825,0.03262119,28444.09375000,0.00054284086,-0.00056884,0.02492650
9,100,5.17514967,0.00100000,64,344,50,rvtdcnn,8,29234.42153337,34236.67578125,0.00013214622,-0.00004501,0.03300763,28442.44335938,0.00036535255,-0.00043852,0.02526512
10,100,5.70710048,0.00100000,64,344,50,rvtdcnn,8,29225.61354743,34236.51171875,0.00016396408,0.00000797,0.03308319,28442.41210938,0.00030471236,-0.00045406,0.02517260
11,100,6.23441245,0.00100000,64,344,50,rvtdcnn,8,29215.99962913,34234.74609375,4.140409e-05,0.00026784,0.03302339,28442.87695312,0.0005224151,-0.00064206,0.02468151
12,100,6.76496752,0.00100000,64,344,50,rvtdcnn,8,29219.39416419,34233.63671875,-0.0001062998,0.00038449,0.03344151,28441.13085938,0.00031561038,-0.00043692,0.02531014
13,100,7.29864483,0.00100000,64,344,50,rvtdcnn,8,29222.93686888,34234.34375000,-0.00012745736,0.00036074,0.03372022,28439.80664062,9.132268e-05,-0.00006800,0.02594095
14,100,7.90316037,0.00100000,64,344,50,rvtdcnn,8,29218.76517741,34235.03515625,4.499854e-05,0.00030069,0.03305968,28442.18164062,0.00046158987,-0.00078685,0.02468156
15,100,8.44477714,0.00050000,64,344,50,rvtdcnn,8,29222.22637600,34233.29687500,-0.00023852702,0.00048249,0.03388763,28440.07617188,0.000117538366,-0.00022099,0.02570722
16,100,8.96960644,0.00050000,64,344,50,rvtdcnn,8,29222.98090744,34230.20312500,-0.00063786714,0.00096357,0.03448619,28437.26562500,-0.0002674732,0.00015685,0.02619587
17,100,9.47803627,0.00050000,64,344,50,rvtdcnn,8,29218.02125083,34231.12109375,-0.00054291077,0.00081983,0.03424937,28438.73437500,7.160977e-05,-0.00013836,0.02588038
18,100,9.98088018,0.00050000,64,344,50,rvtdcnn,8,29223.23823717,34231.01562500,-0.0006159616,0.00079469,0.03474931,28436.27343750,-0.0003132549,0.00043554,0.02699725
19,100,10.50947380,0.00050000,64,344,50,rvtdcnn,8,29221.45620049,34232.07421875,-0.00047540542,0.00054638,0.03406151,28438.26562500,-7.252428e-05,0.00023040,0.02639964
20,100,11.03644797,0.00050000,64,344,50,rvtdcnn,8,29217.00667953,34230.23046875,-0.0007786935,0.00069465,0.03515045,28435.01562500,-0.0005839448,0.00082884,0.02758694
21,100,11.56495385,0.00050000,64,344,50,rvtdcnn,8,29219.99242444,34232.16796875,-0.0005381105,0.00051099,0.03463597,28437.44726562,-0.0001866024,0.00037341,0.02690801
22,100,12.09284940,0.00050000,64,344,50,rvtdcnn,8,29234.33302138,34229.68359375,-0.0008188761,0.00102173,0.03564107,28434.04101562,-0.0007254398,0.00085474,0.02779330
23,100,12.62512025,0.00050000,64,344,50,rvtdcnn,8,29218.09693612,34228.35937500,-0.0008663239,0.00113572,0.03491094,28436.63281250,-0.00029095256,0.00023363,0.02640061
24,100,13.15277068,0.00050000,64,344,50,rvtdcnn,8,29218.12094964,34226.50390625,-0.0010832065,0.00138748,0.03524014,28436.44335938,-0.00023651152,0.00031134,0.02642838
25,100,13.68102007,0.00050000,64,344,50,rvtdcnn,8,29215.23784595,34227.29296875,-0.00097289705,0.00138543,0.03511690,28436.34960938,-0.00022589206,0.00027989,0.02643742
26,100,14.20060982,0.00025000,64,344,50,rvtdcnn,8,29227.45919164,34225.68359375,-0.0011578272,0.00159298,0.03543103,28435.20898438,-0.0004073049,0.00038631,0.02656006
27,100,14.70059723,0.00025000,64,344,50,rvtdcnn,8,29218.56702762,34226.42187500,-0.001158268,0.00136691,0.03567117,28434.81250000,-0.00045383844,0.00051904,0.02707597
28,100,15.22983809,0.00025000,64,344,50,rvtdcnn,8,29225.57043881,34226.61328125,-0.0011497445,0.00129498,0.03571070,28434.38281250,-0.0005861765,0.00057197,0.02718546
29,100,15.76575559,0.00025000,64,344,50,rvtdcnn,8,29226.55246438,34226.09375000,-0.0011471189,0.00144435,0.03566768,28435.01367188,-0.00046546134,0.00055558,0.02707829
30,100,16.29314350,0.00025000,64,344,50,rvtdcnn,8,29223.68292152,34226.34765625,-0.0011906651,0.00129893,0.03578504,28434.14648438,-0.00057877,0.00066088,0.02727985
31,100,16.88780478,0.00025000,64,344,50,rvtdcnn,8,29219.77404997,34226.52343750,-0.0012067704,0.00136502,0.03578810,28433.10937500,-0.0007103068,0.00085657,0.02765393
32,100,17.42052202,0.00025000,64,344,50,rvtdcnn,8,29228.46023941,34224.80859375,-0.0012948093,0.00164944,0.03583548,28433.83398438,-0.00059155736,0.00056008,0.02715377
33,100,17.94870945,0.00025000,64,344,50,rvtdcnn,8,29220.90428416,34227.51953125,-0.0010086145,0.00131615,0.03539963,28433.97851562,-0.0006869657,0.00070456,0.02718662
34,100,18.53636775,0.00025000,64,344,50,rvtdcnn,8,29219.32949405,34227.03515625,-0.0010480416,0.00138350,0.03526324,28433.99023438,-0.00061899936,0.00052483,0.02700687
35,100,19.06971920,0.00025000,64,344,50,rvtdcnn,8,29216.10303201,34229.24218750,-0.0008356193,0.00092228,0.03496362,28435.26562500,-0.0004077729,0.00044459,0.02712291
36,100,19.60919248,0.00025000,64,344,50,rvtdcnn,8,29214.59838655,34227.60937500,-0.0010726748,0.00130882,0.03631248,28433.08007812,-0.0007951306,0.00086257,0.02817037
37,100,20.16947755,0.00012500,64,344,50,rvtdcnn,8,29216.57767232,34227.10546875,-0.0011493356,0.00124203,0.03622271,28433.18750000,-0.00078456255,0.00091683,0.02829085
38,100,20.71203270,0.00012500,64,344,50,rvtdcnn,8,29217.35357751,34226.95703125,-0.0011804039,0.00128633,0.03614621,28432.99804688,-0.0008394001,0.00093973,0.02814025
39,100,21.30475163,0.00012500,64,344,50,rvtdcnn,8,29221.59865104,34227.20312500,-0.0011291355,0.00132228,0.03619796,28433.52343750,-0.0008293448,0.00080347,0.02803420
40,100,21.95365032,0.00012500,64,344,50,rvtdcnn,8,29217.88496399,34227.12500000,-0.0011044119,0.00148154,0.03628181,28433.27148438,-0.00085296045,0.00098969,0.02800953
41,100,22.49449786,0.00012500,64,344,50,rvtdcnn,8,29220.97385152,34228.26562500,-0.0010030046,0.00113376,0.03607399,28433.46875000,-0.0009257763,0.00089290,0.02803817
42,100,23.08902247,0.00012500,64,344,50,rvtdcnn,8,29222.42643483,34229.68359375,-0.00076538883,0.00095309,0.03544518,28434.36914062,-0.00089771795,0.00079825,0.02774058
43,100,23.62287625,0.00012500,64,344,50,rvtdcnn,8,29219.91294607,34227.83203125,-0.0010199056,0.00127923,0.03603829,28434.48437500,-0.0008285481,0.00063857,0.02760803
44,100,24.18783364,0.00012500,64,344,50,rvtdcnn,8,29214.71311315,34228.21093750,-0.0009783244,0.00125188,0.03596703,28434.03710938,-0.0009460263,0.00062330,0.02766617
45,100,24.72581815,0.00012500,64,344,50,rvtdcnn,8,29226.39738803,34228.08203125,-0.0010589845,0.00113033,0.03629194,28433.74023438,-0.0009052694,0.00073267,0.02809308
46,100,25.26552123,0.00012500,64,344,50,rvtdcnn,8,29218.53802109,34228.89062500,-0.0010053754,0.00109181,0.03629604,28434.02539062,-0.00081727724,0.00077663,0.02826498
47,100,25.76927447,0.00012500,64,344,50,rvtdcnn,8,29219.89380434,34228.35546875,-0.0010597762,0.00117234,0.03650762,28433.82226562,-0.0008653633,0.00084790,0.02827986
48,100,26.27590310,0.00006250,64,344,50,rvtdcnn,8,29215.32670975,34228.12890625,-0.0011075665,0.00110394,0.03638290,28433.41601562,-0.00091964257,0.00097119,0.02844061
49,100,26.77879447,0.00006250,64,344,50,rvtdcnn,8,29214.92322837,34227.89062500,-0.001113113,0.00119131,0.03645377,28433.22070312,-0.0009677155,0.00098767,0.02842057
50,100,27.28023618,0.00006250,64,344,50,rvtdcnn,8,29214.49193615,34227.73046875,-0.0011298944,0.00120203,0.03650925,28433.56054688,-0.00087987765,0.00084729,0.02831083
51,100,27.78432610,0.00006250,64,344,50,rvtdcnn,8,29219.83798303,34227.11328125,-0.0011998338,0.00131664,0.03664871,28432.81054688,-0.0010337578,0.00099164,0.02851383
52,100,28.28916147,0.00006250,64,344,50,rvtdcnn,8,29223.31507916,34228.14453125,-0.001055605,0.00111084,0.03637630,28433.60351562,-0.00096318265,0.00088378,0.02832087
53,100,28.79447480,0.00006250,64,344,50,rvtdcnn,8,29225.96543248,34226.73046875,-0.0012268453,0.00140195,0.03679000,28432.56250000,-0.0011039726,0.00100186,0.02845269
54,100,29.30019365,0.00006250,64,344,50,rvtdcnn,8,29223.34822040,34227.38281250,-0.0011692822,0.00129057,0.03654939,28432.68164062,-0.0010418057,0.00095424,0.02842725
55,100,29.80020958,0.00006250,64,344,50,rvtdcnn,8,29223.61719259,34227.08203125,-0.0012015336,0.00123085,0.03653736,28432.75976562,-0.0010126254,0.00094477,0.02845735
56,100,30.30634731,0.00006250,64,344,50,rvtdcnn,8,29233.94609155,34226.73828125,-0.0012662187,0.00126512,0.03666768,28432.33789062,-0.0010882437,0.00104859,0.02867015
57,100,30.81375325,0.00006250,64,344,50,rvtdcnn,8,29225.26952744,34226.73437500,-0.0012891201,0.00121855,0.03660569,28432.05664062,-0.0011250302,0.00109031,0.02877757
58,100,31.35127995,0.00006250,64,344,50,rvtdcnn,8,29218.24844530,34228.00000000,-0.0011475487,0.00104170,0.03661772,28432.07226562,-0.001091313,0.00112870,0.02882802
59,100,31.85783517,0.00003125,64,344,50,rvtdcnn,8,29222.53178067,34227.78125000,-0.0011817311,0.00107073,0.03663757,28432.07812500,-0.001080388,0.00114797,0.02884537
60,100,32.36050735,0.00003125,64,344,50,rvtdcnn,8,29225.83646181,34227.33203125,-0.0012362676,0.00112262,0.03668322,28432.01562500,-0.0011024821,0.00112329,0.02881880
61,100,32.86065222,0.00003125,64,344,50,rvtdcnn,8,29218.82923550,34226.96875000,-0.001269279,0.00119614,0.03673961,28431.95507812,-0.0010964632,0.00112867,0.02885300
62,100,33.36133087,0.00003125,64,344,50,rvtdcnn,8,29218.80450312,34227.30078125,-0.00123126,0.00110722,0.03663643,28431.80273438,-0.001131002,0.00116647,0.02885457
63,100,33.86169987,0.00003125,64,344,50,rvtdcnn,8,29218.46370231,34227.52734375,-0.0012163862,0.00111537,0.03665459,28432.09375000,-0.001066371,0.00116964,0.02882626
64,100,34.35890078,0.00003125,64,344,50,rvtdcnn,8,29218.92610126,34227.31250000,-0.0012344872,0.00112835,0.03664106,28431.86914062,-0.0010833119,0.00119061,0.02891551
65,100,34.86046307,0.00003125,64,344,50,rvtdcnn,8,29214.74247275,34227.58203125,-0.0012264341,0.00110501,0.03666234,28432.00976562,-0.0010857768,0.00117267,0.02891253
66,100,35.36155923,0.00003125,64,344,50,rvtdcnn,8,29223.52997547,34227.35156250,-0.0012335551,0.00108738,0.03657358,28431.95507812,-0.001077406,0.00117088,0.02887252
67,100,35.86108561,0.00003125,64,344,50,rvtdcnn,8,29223.66531711,34228.05078125,-0.0011585258,0.00104187,0.03653058,28431.92773438,-0.001052975,0.00118008,0.02883166
68,100,36.36402549,0.00003125,64,344,50,rvtdcnn,8,29217.08344523,34228.17578125,-0.0011577376,0.00098647,0.03653090,28431.88281250,-0.0010712331,0.00112064,0.02884209
69,100,36.87229162,0.00003125,64,344,50,rvtdcnn,8,29226.08538183,34228.03515625,-0.0011679728,0.00098732,0.03651037,28432.01562500,-0.0010602996,0.00110376,0.02885546
70,100,37.37199719,0.00001563,64,344,50,rvtdcnn,8,29222.32057783,34227.72265625,-0.0012031577,0.00104405,0.03657792,28432.01562500,-0.0010633054,0.00109285,0.02887232
71,100,37.87157360,0.00001563,64,344,50,rvtdcnn,8,29222.59365463,34228.12890625,-0.0011623201,0.00095751,0.03653296,28431.84375000,-0.0011097402,0.00110813,0.02887081
72,100,38.37119653,0.00001563,64,344,50,rvtdcnn,8,29216.94018131,34227.62890625,-0.0012133217,0.00104306,0.03658716,28431.76562500,-0.0011079792,0.00109251,0.02885175
