EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.17368910,0.00100000,64,538,50,vdlstm,8,29133.03184425,34080.75000000,-0.022204753,0.02126761,0.05691928,28296.17382812,-0.025974102,0.02433090,0.05022081
1,100,0.35825730,0.00100000,64,538,50,vdlstm,8,29076.66329914,34058.21484375,-0.024908202,0.02459881,0.05937330,28276.34179688,-0.028994368,0.02654251,0.05310143
2,100,0.53166157,0.00100000,64,538,50,vdlstm,8,29063.22097609,34057.87500000,-0.024935052,0.02556317,0.06092455,28279.81445312,-0.0290123,0.02591218,0.05259696
3,100,0.70570530,0.00100000,64,538,50,vdlstm,8,29065.53724840,34056.62890625,-0.02515107,0.02588784,0.06069274,28279.95898438,-0.028784873,0.02589482,0.05214216
4,100,0.87902092,0.00100000,64,538,50,vdlstm,8,29061.14137310,34071.17968750,-0.02355374,0.02390461,0.05835402,28286.03710938,-0.027695004,0.02432076,0.05117112
5,100,1.05307180,0.00100000,64,538,50,vdlstm,8,29060.06498973,34091.16796875,-0.021109032,0.02122527,0.05546949,28298.02148438,-0.025959816,0.02220949,0.04925544
6,100,1.22899228,0.00100000,64,538,50,vdlstm,8,29054.52233039,34088.24609375,-0.021819532,0.02203529,0.05517736,28292.95898438,-0.026756413,0.02332024,0.04966828
7,100,1.40360370,0.00100000,64,538,50,vdlstm,8,29054.62499025,34094.60546875,-0.021342628,0.02141780,0.05527086,28300.32617188,-0.026118122,0.02266304,0.04887063
8,100,1.57816672,0.00100000,64,538,50,vdlstm,8,29056.87223731,34109.75390625,-0.018818479,0.01954723,0.05231474,28313.33593750,-0.024140248,0.02059525,0.04688876
9,100,1.75257180,0.00100000,64,538,50,vdlstm,8,29063.29098214,34116.14062500,-0.017928496,0.01855473,0.05111553,28320.91210938,-0.022829227,0.01928635,0.04551185
10,100,1.92691722,0.00100000,64,538,50,vdlstm,8,29050.74445046,34130.17578125,-0.015961805,0.01782363,0.05021158,28326.44531250,-0.021665122,0.01812453,0.04403555
11,100,2.10167847,0.00100000,64,538,50,vdlstm,8,29046.39528995,34109.72656250,-0.019019857,0.02018427,0.05335096,28308.32617188,-0.024749465,0.02115002,0.04746822
12,100,2.27596950,0.00100000,64,538,50,vdlstm,8,29049.83744473,34093.34765625,-0.021464251,0.02126435,0.05554790,28297.99414062,-0.02642322,0.02333495,0.05061704
13,100,2.45146808,0.00100000,64,538,50,vdlstm,8,29063.00683679,34083.35156250,-0.02257359,0.02231371,0.05596881,28292.08007812,-0.027522478,0.02400175,0.05056284
14,100,2.62458264,0.00100000,64,538,50,vdlstm,8,29060.32921007,34087.26562500,-0.022015715,0.02175687,0.05505637,28295.99804688,-0.02681801,0.02354309,0.04990635
15,100,2.79822758,0.00100000,64,538,50,vdlstm,8,29051.65703668,34117.10156250,-0.01769997,0.01891616,0.05127756,28326.62500000,-0.021682544,0.01838437,0.04436447
16,100,2.97136042,0.00100000,64,538,50,vdlstm,8,29051.38967260,34090.67578125,-0.021384977,0.02185140,0.05436892,28301.55273438,-0.025798025,0.02245991,0.04832150
17,100,3.14655737,0.00100000,64,538,50,vdlstm,8,29047.52617137,34110.90625000,-0.018566076,0.01976192,0.05163679,28320.98632812,-0.02277959,0.01940651,0.04487946
18,100,3.32020625,0.00100000,64,538,50,vdlstm,8,29055.93329493,34109.24218750,-0.019109365,0.01987714,0.05254972,28316.64062500,-0.023489706,0.02004150,0.04628870
19,100,3.49336311,0.00100000,64,538,50,vdlstm,8,29043.51218457,34091.89062500,-0.021167371,0.02203361,0.05462862,28306.39062500,-0.024878355,0.02131224,0.04677307
20,100,3.66407702,0.00100000,64,538,50,vdlstm,8,29050.17300161,34114.16796875,-0.018394899,0.01932638,0.05186064,28322.53710938,-0.022202972,0.01878444,0.04476794
21,100,3.83890012,0.00100000,64,538,50,vdlstm,8,29044.90346527,34070.62109375,-0.02434166,0.02486733,0.05734738,28283.29687500,-0.02879905,0.02552925,0.05081996
22,100,4.01152080,0.00050000,64,538,50,vdlstm,8,29050.51127667,34080.90625000,-0.022652306,0.02377449,0.05563846,28296.97851562,-0.026283767,0.02298969,0.04765756
23,100,4.18665810,0.00050000,64,538,50,vdlstm,8,29045.68283717,34085.23828125,-0.022141926,0.02295858,0.05519646,28300.16601562,-0.025742669,0.02232830,0.04750483
24,100,4.35611027,0.00050000,64,538,50,vdlstm,8,29050.97125626,34070.99218750,-0.0241332,0.02464232,0.05737536,28289.75976562,-0.027374148,0.02413581,0.04955195
25,100,4.52592578,0.00050000,64,538,50,vdlstm,8,29046.08208126,34067.39843750,-0.024730913,0.02516634,0.05741415,28284.49023438,-0.028382987,0.02507253,0.05035338
26,100,4.69488462,0.00050000,64,538,50,vdlstm,8,29045.04292128,34074.86718750,-0.02387222,0.02423913,0.05709352,28288.56054688,-0.027892752,0.02477789,0.05065773
27,100,4.86550697,0.00050000,64,538,50,vdlstm,8,29050.31557465,34058.51953125,-0.025991771,0.02617354,0.05896536,28276.84960938,-0.029591415,0.02654628,0.05200414
28,100,5.03503357,0.00050000,64,538,50,vdlstm,8,29041.55324131,34070.79296875,-0.02410875,0.02482983,0.05700104,28290.27929688,-0.027204411,0.02406687,0.04879214
29,100,5.20361790,0.00050000,64,538,50,vdlstm,8,29062.67984263,34054.83984375,-0.026302394,0.02637305,0.05945777,28277.14257812,-0.02927431,0.02612818,0.05142459
