I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-0.061053414,-0.038836107
-100.95529039546578,-835.9098044744567,-0.045619506,-0.046197902
2035.2586543725904,-11694.660839410755,-0.043097977,-0.05574211
3646.505089084224,-19403.606814008523,-0.041186865,-0.03481014
4498.567740021955,-21446.94189161275,-0.045745227,0.0618584
4442.0327774004945,-16891.839188969334,-0.06506661,0.17316629
3408.2506037509247,-6828.615842349305,-0.0691414,0.17555621
1465.870816542163,5879.636112631927,-0.0665942,0.0946542
-1070.1260781919373,17336.042466709383,-0.08728825,0.02521298
-3662.6579355474983,23805.25747525083,-0.2558963,0.041165166
-5580.808453061349,22920.88913138655,-0.29008263,-0.011062771
-6121.928809581045,14569.867509873622,-0.16445747,-0.09815751
-4890.2742667563625,1053.9732317286628,-0.07942536,-0.1730805
-1958.532633672036,-13467.435738755135,-0.050476003,-0.23589318
1966.6090569036735,-24253.4989646067,-0.04911724,-0.23116101
5734.260494462456,-27536.565008267247,0.022450775,0.028864488
8072.385020021444,-21822.495571883883,-0.00074579567,0.33683702
8003.735422552527,-8569.085048767136,-0.06423599,0.4026544
5277.9425818749505,8136.996405874542,-0.071644336,0.23625109
524.967510056422,22832.04847583854,-0.1256322,0.11369984
-4841.815727366539,30456.192006504116,-0.51346284,0.092335045
-9053.67044266537,28089.799999634397,-0.5695424,-0.030871544
-10576.076221828996,16108.42613550052,-0.29360333,-0.19720905
-8657.925704315145,-1801.0423806551096,-0.122630894,-0.33595145
-3682.848993626591,-19750.893012968925,-0.04036681,-0.53984755
2883.283093694503,-31570.73841247006,0.035518207,-0.40609926
8928.485882574994,-32984.11247800658,0.270889,0.15005957
12356.92754440501,-23130.87613540912,0.11668852,0.6245856
11844.074669196045,-5027.573461694195,-0.06938269,0.6321863
7329.354082710815,15312.898447184249,-0.019099383,0.34033552
96.91707877964714,30920.58634232326,-0.3216791,0.23931551
-7567.608568044115,36251.025675203855,-0.8979161,0.1329143
-13099.95848171564,29168.002501057977,-0.81146264,-0.15431315
-14545.638240178709,11835.998245964409,-0.3382658,-0.41807178
-11206.0372338967,-9950.153421377106,-0.16935983,-0.5744989
-3965.523806733896,-28687.455318775555,-0.17246556,-0.88369703
4938.732806146186,-37781.50787759911,0.322855,-0.44127515
12619.411299433224,-33884.633668334136,0.51559114,0.43481898
16463.78875769256,-18139.646578257292,0.18442248,0.8458859
15022.147210845307,4106.861213287548,0.0004844889,0.68891525
8528.702932608949,25158.05836655007,0.11382222,0.334683
-1070.1260781919373,37615.94120135055,-0.6070564,0.41127375
-10745.681109693378,37042.51515190431,-1.1106637,0.061950758
-17299.698562167017,23530.65908537516,-0.7749826,-0.35175607
-18414.24496813296,1748.5456296494674,-0.32297766,-0.6422472
-13495.703220065863,-20691.796319454665,-0.21784484,-1.0807798
-3892.8359976491606,-35911.815899475085,-0.17546698,-1.0507139
7434.3475847221,-38560.88271945211,0.4955705,-0.2124177
16815.11316826878,-27710.208107747447,0.47973332,0.74262416
21051.197153262525,-7212.245945852075,0.25748953,0.94446814
18511.162046912606,15692.4903390712,0.3834329,0.63258815
9707.86072442799,32931.615727000935,0.008608881,0.67919457
-2729.831052293395,38476.08027551992,-0.7867198,0.3790206
-14836.38947651765,30492.535911046485,-0.95327806,-0.15679681
-22581.679355657787,11928.877113128236,-0.6332537,-0.5279715
-23163.18182833567,-10551.846952134085,-0.4676133,-1.1122895
-16039.776538031603,-28978.2065551145,-0.658097,-1.4707355
-3206.3400229599933,-36941.55986150884,-0.15057197,-0.97319996
11302.95431267635,-31813.031109419175,0.3766749,0.20095742
22718.97855059562,-15656.146434528831,0.49402508,0.90334177
27043.90319113737,5621.190569219535,0.76025367,0.9691119
22464.571218799047,24410.989217623624,0.7472222,0.9444748
10091.49082793076,34175.384904673076,-0.06566646,0.71429837
-6271.342639366334,31708.037607407892,-0.61889625,0.09655365
-21269.26058051673,18232.52544542112,-0.72258425,-0.37752885
-29757.581396967493,-1195.3106382823148,-0.81912386,-1.0133944
-28517.850430911178,-19565.135278641268,-1.1285931,-1.6234345
-17517.761989421222,-30456.192006504116,-0.91874576,-1.6095942
-68.64959746891672,-30314.854599950464,-0.13006456,-0.5695815
18167.914059568026,-19605.517394799455,0.3760901,0.4488667
30973.0830933289,-2499.652990191733,1.0769452,1.2161443
33710.99056885394,14747.54882096964,1.6992507,1.3710856
25004.606325148965,26086.847038188356,0.8880751,1.1960188
7365.697987253183,27823.27803299037,-0.113667786,0.33726528
-13483.58858521841,19807.427975590384,-0.35598046,-0.05250381
-30484.459487814845,5326.401121264775,-0.8660191,-0.6556386
-37603.82656650309,-10224.751811252774,-1.9891107,-1.3032639
-32010.90347859429,-21370.2158709122,-1.7750106,-1.7142824
-15183.675675478053,-24471.562391860905,-0.84015894,-1.0988171
7442.424007953738,-18939.21247818938,-0.0326764,-0.13932806
28202.86992487732,-7224.360580699531,0.8869462,0.9461578
39836.9575900508,6202.693041897417,2.413245,1.9585177
38007.64772808496,16568.782259703843,2.386068,2.0007393
22973.385882392195,20510.07679674283,0.8036287,0.8803816
-411.8975848135004,17138.170097534272,0.016105346,0.16676623
-24217.15506006433,8181.416733648547,-0.44566292,-0.13275746
-40164.052730932104,-2830.7863426888603,-2.2788982,-0.64988077
-42514.29189133855,-11945.029959591511,-2.7923553,-1.2598876
-30157.364346933537,-16197.266791048529,-1.5818433,-0.9934225
-7119.367078688247,-14594.096779568534,-0.46288258,-0.2687441
18765.56937870918,-8246.028119501645,0.26540792,0.28631857
38512.42418006229,209.9870040225688,2.1023133,1.9364282
45139.12944162066,7688.754916518674,3.526569,2.6604908
36174.299654503295,11775.425071727128,2.3001988,1.7007735
14573.90572148944,11504.86489346728,0.119002864,0.72941494
-12247.895830777908,7511.073605422654,-0.17524076,0.37120992
-34974.95080460516,1615.2846463274525,-1.5870825,0.013147004
-45651.98231682963,-3969.5620183497144,-3.2068326,-0.81382644
-40527.49177635578,-7458.576854417011,-2.4584892,-0.65804374
-21354.06302444892,-8060.270385173988,-0.8322706,-0.1394698
5181.025503095304,-6081.546693422859,-0.14532705,0.07191791
29814.116359588956,-2632.9139735137474,1.0904562,1.0798842
43984.20091949653,912.6358251750106,3.1227267,2.5679865
42833.31060898822,3444.5945082932926,3.259691,2.3322716
26894.489361352084,4462.223835479587,0.80682886,1.2512659
1865.6537665082076,4094.746578440092,-0.100655004,0.654783
-23445.856641442973,2859.053823999591,-0.53418684,0.25891513
-40252.893386480115,1381.068372609972,-2.367423,-0.21021146
-42881.76914837804,84.80244393219125,-2.6978133,-0.7153325
-30702.522915069057,-908.597613559192,-1.2371304,-0.28315824
-8274.295600812375,-1683.9342437963692,-0.27312922,-0.03567206
16407.253795071098,-2346.200948790625,0.18888895,0.184244
34752.84916573514,-2855.0156123837723,1.6919725,1.4295877
40640.5617015987,-2980.20017247415,2.7462769,2.0429492
32451.06854471852,-2422.9269694911786,1.541102,1.3834231
13499.741431681685,-981.2854226439274,0.02039589,0.7085159
-9283.848504767033,1163.0049453557658,-0.13575745,0.36877963
-27936.34795823329,3472.8619896040227,-0.8096709,0.013010312
-36275.25494489876,5132.566963705481,-1.6819206,-0.5044195
-31950.33030435701,5350.630390959686,-1.1470134,-0.6331527
-17089.71155814445,3755.536802711327,-0.29150355,-0.43015307
2665.219666440297,589.5788959095202,-0.06846971,-0.3162582
20348.548332110084,-3234.607504270723,0.39548844,0.15237264
30121.02044239117,-6424.7946807674425,1.2088171,0.88218987
29224.537463679433,-7721.060609445223,1.1743615,0.94523776
18741.34010901427,-6444.985738846535,0.29965296,0.56815004
2903.4741517735956,-2782.327803299037,-0.0934194,0.26579246
-12583.067394890855,2180.634272542061,-0.16690598,0.09367682
-22650.328953126704,6788.233726191119,-0.41599986,-0.1746365
-24491.75344994,9372.689160315043,-0.5596988,-0.38645506
-18337.518947432403,8871.950919953533,-0.33841106,-0.33406842
-7018.411788292781,5265.827947027495,-0.11225421,-0.267257
5237.560465716765,-383.63010350276994,-0.07098346,-0.2016695
14440.644738167424,-6202.693041897417,0.13712707,-0.05288717
18123.493731794017,-10188.407906710408,0.29398316,0.14953737
15926.70661278868,-10862.789246552118,0.20594387,0.2346527
9413.071276473229,-7846.2451695356,0.009150539,0.15473378
1195.3106382823148,-2031.2204427567715,-0.069823034,0.066987544
-6089.623116654496,4696.4401091970685,-0.08573651,0.0028420687
-10620.496549603,10079.376193083304,-0.11891481,-0.05971404
-11783.501494958766,12227.704772698817,-0.17673977,-0.0958367
-10006.688383998568,10325.70710164824,-0.13778546,-0.099491104
-6319.801178756158,4898.350689987999,-0.07297291,-0.106998876
-1841.4244968132955,-2334.086313943169,-0.055146717,-0.0995087
2556.1879528131935,-8989.059056812273,-0.02916342,-0.0973884
6287.495485829609,-12825.360091839972,0.0032068081,-0.04289762
8896.180189648445,-12494.226739342845,0.0241739,0.027749322
9921.885940066377,-7999.697210936708,0.011505358,0.072674714
8875.989131569351,-738.9927256948096,-0.019746663,0.04141979
5491.967797513338,6949.762190823864,-0.031599432,0.003872048
60.57317423727947,12538.64706711685,-0.060065977,-0.017417049
-6352.106871682707,14129.702443749393,-0.11955624,-0.039466467
-11940.991747975691,11101.043731885416,-0.16824982,-0.09901174
-14674.861011884906,4337.03927538921,-0.15901548,-0.16017333
-13011.11782616763,-4034.173404202813,-0.11673707,-0.21100838
-6719.584128722202,-11298.91610106053,-0.088750295,-0.19623347
2754.0603219883064,-15046.37648054022,-0.03079021,-0.10012601
12506.3413741903,-13939.906497805914,0.111011416,0.079056375
19048.244191816484,-8213.722426575096,0.27848893,0.28919205
19573.211701872904,387.66831511858857,0.28849927,0.26737005
13168.608079184556,9114.243616902651,0.123381674,0.11730988
1429.5269119997954,15094.835019930044,-0.056624264,0.01978942
-11876.380362122594,16265.916388517446,-0.22902471,-0.057753373
-21988.062248132446,12094.4437893768,-0.49723786,-0.2949791
-24895.57461152186,3775.72786079042,-0.5308627,-0.5464525
-18963.44174788429,-6061.355635343765,-0.27616104,-0.59354365
-5722.1458596150005,-14194.313829602488,-0.10652732,-0.43617693
10414.54775719625,-17861.009976765807,0.14709134,-0.09733957
23639.690799002263,-15684.413915839565,0.6835916,0.50181353
28881.28947633485,-8189.493156880184,1.0229701,0.9225936
23768.913570708464,2289.6659861691637,0.59500694,0.60709035
9691.707877964714,12328.66006309428,0.0728717,0.24043179
-8520.626509377313,18539.429528223336,-0.17279044,0.022942543
-24253.4989646067,18696.919781240264,-0.7798742,-0.29847997
-31554.585566006783,12554.799913580124,-1.1374465,-0.72980726
-27411.380448176868,1982.761903366948,-0.69437134,-0.8152127
-13003.041402935993,-9570.561529490156,-0.20952815,-0.660591
6578.24672216855,-18204.25796411039,0.05251544,-0.38624436
24156.58188582705,-20897.745111861415,0.9346185,0.4948801
33093.144191633684,-16560.705836472207,1.6930028,1.3609285
29866.613110594597,-6481.329643388903,1.14227,1.1717151
15450.197642122082,6061.355635343765,0.14414717,0.6032231
-4926.61817129873,16827.227803116235,-0.15101749,0.1970645
-23688.14933839209,22097.09396175955,-0.84171486,-0.19473399
-33755.41089662794,19928.574324064943,-1.6086421,-0.751372
-31235.566848357113,10903.171362710304,-1.0623277,-0.7459918
-16960.48878643825,-2019.1058079093157,-0.25875217,-0.556597
3775.72786079042,-14481.026854325612,-0.065603286,-0.48811495
23159.14361671985,-22181.89640569174,0.9373586,0.3677054
33848.28976379176,-22412.0744677934,2.0904615,1.3610497
31744.38151195026,-14953.497613376392,1.5108795,1.4029397
17598.526221737593,-2285.6277745533453,0.16694705,0.8675642
-3218.454657807449,11311.030735907983,-0.15639156,0.43777934
-22791.666359680356,21156.190655273807,-0.71871686,-0.1339904
-33654.45560623247,23833.52495656156,-1.816274,-0.72192776
-31655.54085640225,18357.710005511497,-1.347602,-0.69846046
-17562.182317195227,6558.055664089457,-0.29473975,-0.36640048
3206.3400229599933,-7543.379298349203,-0.095352024,-0.36870557
22690.711069284887,-19096.702731206307,0.78484654,0.25059706
33412.162909283354,-24128.31440451632,2.188631,1.2516611
31263.834329667843,-20893.706900245597,1.7088118,1.3196328
17105.86440460772,-10511.464835975898,0.1862934,0.9839957
-3594.008338078582,3440.5562966774737,-0.1622778,0.5536351
-22840.12489907018,16168.9993097378,-0.6974988,0.0333424
-33238.519809803154,23300.481023273504,-1.7326856,-0.70180595
-30803.47820546452,22428.227314256677,-1.4870819,-0.6714561
-16504.170873850744,13899.524381647729,-0.3620199,-0.27208745
4118.975848135004,702.6488211524419,-0.10338256,-0.33143565
23106.646865714207,-12611.334876201585,0.6289463,0.16364193
33153.717365870965,-21475.20937292348,2.0212507,1.1920692
30419.84810196175,-22912.812708154914,1.7456603,1.2315457
15999.394421873416,-16536.476566777295,0.22797093,0.94481087
-4526.835221332685,-4619.714088496514,-0.16960081,0.5852685
-23276.251753578592,8686.193185625876,-0.6869322,0.15301313
-33056.80028709131,18826.142552946458,-1.5920095,-0.54786766
-30177.55540501263,22399.959832945948,-1.4394492,-0.6719868
-15789.407417850847,18305.213254505856,-0.4421072,-0.2575746
4551.064491027598,8076.423231637263,-0.11200603,-0.3044814
23074.34117278766,-4692.40189758125,0.4852225,0.09598501
32757.972627520736,-15615.764318370646,1.7282003,1.1446992
29995.83588230079,-21026.967883567613,1.6359746,1.1868865
15934.78303602032,-19197.658021601772,0.29406026,0.8965925
-4001.867711276263,-10911.24778594194,-0.18336432,0.56544065
-22254.58421477648,888.4065554800989,-0.6041659,0.21408883
-31990.712420515196,12118.673059071712,-1.323085,-0.3695565
-29692.97001111439,18995.747440810843,-1.2284255,-0.66241944
-16391.100948607826,19286.498677149782,-0.50117844,-0.28940928
2770.213168451581,13039.38530747836,-0.13278967,-0.2629229
