I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-2.3779822e+18,9.678387e+18
-100.95529039546578,-835.9098044744567,1.923747e+18,-8.5904816e+18
2035.2586543725904,-11694.660839410755,3.7913462e+18,-2.2775469e+19
3646.505089084224,-19403.606814008523,5.2552055e+19,-2.7898728e+20
4498.567740021955,-21446.94189161275,9.550145e+19,-4.273772e+20
4442.0327774004945,-16891.839188969334,1.993649e+19,1.7622638e+19
3408.2506037509247,-6828.615842349305,1.298218e+19,2.7565126e+19
1465.870816542163,5879.636112631927,-5.708074e+19,3.4528138e+20
-1070.1260781919373,17336.042466709383,-1.7594074e+20,5.161157e+20
-3662.6579355474983,23805.25747525083,-2.0246576e+20,3.006347e+20
-5580.808453061349,22920.88913138655,-1.2991816e+20,-3.600142e+20
-6121.928809581045,14569.867509873622,1.3276528e+20,-1.3121185e+21
-4890.2742667563625,1053.9732317286628,1.9639338e+20,-1.5167804e+21
-1958.532633672036,-13467.435738755135,5.5485333e+20,-2.2861241e+21
1966.6090569036735,-24253.4989646067,5.7888974e+20,-1.10698535e+21
5734.260494462456,-27536.565008267247,5.18486e+20,3.872406e+19
8072.385020021444,-21822.495571883883,9.067676e+19,2.4899198e+21
8003.735422552527,-8569.085048767136,-3.0636546e+20,2.114066e+21
5277.9425818749505,8136.996405874542,-7.547252e+20,2.738755e+21
524.967510056422,22832.04847583854,-1.5808932e+21,2.809123e+21
-4841.815727366539,30456.192006504116,-1.3316514e+21,6.629358e+20
-9053.67044266537,28089.799999634397,-1.1547642e+21,-3.0814296e+21
-10576.076221828996,16108.42613550052,2.8718776e+20,-6.207405e+21
-8657.925704315145,-1801.0423806551096,8.357547e+20,-3.812868e+21
-3682.848993626591,-19750.893012968925,2.730618e+21,-5.298431e+21
2883.283093694503,-31570.73841247006,2.960869e+21,-1.9561042e+21
8928.485882574994,-32984.11247800658,2.6277237e+21,2.1869584e+21
12356.92754440501,-23130.87613540912,7.329514e+20,1.1013966e+22
11844.074669196045,-5027.573461694195,-1.1363352e+21,8.400976e+21
7329.354082710815,15312.898447184249,-3.4875383e+21,8.0303297e+21
96.91707877964714,30920.58634232326,-5.9383947e+21,4.8052423e+21
-7567.608568044115,36251.025675203855,-4.6420594e+21,-1.4437735e+21
-13099.95848171564,29168.002501057977,-3.1880222e+21,-1.4014952e+22
-14545.638240178709,11835.998245964409,1.0176207e+21,-1.7774148e+22
-11206.0372338967,-9950.153421377106,3.6677237e+21,-1.1553694e+22
-3965.523806733896,-28687.455318775555,9.424162e+21,-8.986161e+21
4938.732806146186,-37781.50787759911,8.022176e+21,1.3191618e+21
12619.411299433224,-33884.633668334136,6.536753e+21,1.4347509e+22
16463.78875769256,-18139.646578257292,1.04103605e+21,2.9061438e+22
15022.147210845307,4106.861213287548,-3.4443516e+21,1.8752868e+22
8528.702932608949,25158.05836655007,-1.1831868e+22,1.3249618e+22
-1070.1260781919373,37615.94120135055,-1.3292595e+22,-1.011415e+21
-10745.681109693378,37042.51515190431,-1.0126586e+22,-1.3846281e+22
-17299.698562167017,23530.65908537516,-5.8263834e+21,-3.687468e+22
-18414.24496813296,1748.5456296494674,2.0087794e+21,-3.0705738e+22
-13495.703220065863,-20691.796319454665,1.2271517e+22,-1.7658578e+22
-3892.8359976491606,-35911.815899475085,1.9405216e+22,-2.3929651e+20
7434.3475847221,-38560.88271945211,1.4276738e+22,1.4294536e+22
16815.11316826878,-27710.208107747447,1.2124259e+22,3.8331393e+22
21051.197153262525,-7212.245945852075,2.3627223e+21,4.35264e+22
18511.162046912606,15692.4903390712,-1.0730767e+22,2.3922196e+22
9707.86072442799,32931.615727000935,-2.4180592e+22,2.534323e+21
-2729.831052293395,38476.08027551992,-1.9633e+22,-1.5500269e+22
-14836.38947651765,30492.535911046485,-1.7957919e+22,-3.5082127e+22
-22581.679355657787,11928.877113128236,-1.0089874e+22,-5.098302e+22
-23163.18182833567,-10551.846952134085,6.945738e+21,-3.2500393e+22
-16039.776538031603,-28978.2065551145,2.6109628e+22,-6.2351864e+21
-3206.3400229599933,-36941.55986150884,2.5717623e+22,1.5688181e+22
11302.95431267635,-31813.031109419175,2.2663906e+22,3.0534572e+22
22718.97855059562,-15656.146434528831,1.9126628e+22,5.007e+22
27043.90319113737,5621.190569219535,-3.3770467e+20,4.044105e+22
22464.571218799047,24410.989217623624,-2.4978013e+22,1.1984271e+22
10091.49082793076,34175.384904673076,-3.0942754e+22,-1.3356616e+22
-6271.342639366334,31708.037607407892,-2.7035719e+22,-2.6347922e+22
-21269.26058051673,18232.52544542112,-2.6774433e+22,-4.3111117e+22
-29757.581396967493,-1195.3106382823148,-8.4600896e+21,-4.3813836e+22
-28517.850430911178,-19565.135278641268,2.1137514e+22,-1.9229069e+22
-17517.761989421222,-30456.192006504116,3.4104729e+22,7.924623e+21
-68.64959746891672,-30314.854599950464,3.1832203e+22,2.2051371e+22
18167.914059568026,-19605.517394799455,3.2364439e+22,3.4490512e+22
30973.0830933289,-2499.652990191733,1.7376308e+22,4.165824e+22
33710.99056885394,14747.54882096964,-1.5059927e+22,2.555591e+22
25004.606325148965,26086.847038188356,-3.5005944e+22,6.3500755e+17
7365.697987253183,27823.27803299037,-3.7308821e+22,-1.6690034e+22
-13483.58858521841,19807.427975590384,-3.717504e+22,-2.6796105e+22
-30484.459487814845,5326.401121264775,-2.498417e+22,-3.646325e+22
-37603.82656650309,-10224.751811252774,7.969062e+21,-2.8782354e+22
-32010.90347859429,-21370.2158709122,3.3638906e+22,-8.4777994e+21
-15183.675675478053,-24471.562391860905,4.384499e+22,9.946672e+21
7442.424007953738,-18939.21247818938,4.2737197e+22,2.0241478e+22
28202.86992487732,-7224.360580699531,3.1922347e+22,3.09146e+22
39836.9575900508,6202.693041897417,-1.3685122e+21,2.8995692e+22
38007.64772808496,16568.782259703843,-3.0000814e+22,1.4812839e+22
22973.385882392195,20510.07679674283,-5.1337536e+22,-2.3839675e+21
-411.8975848135004,17138.170097534272,-5.0510617e+22,-1.4318655e+22
-24217.15506006433,8181.416733648547,-3.9257265e+22,-2.54682e+22
-40164.052730932104,-2830.7863426888603,-4.7670703e+21,-2.7834975e+22
-42514.29189133855,-11945.029959591511,2.5172127e+22,-1.738185e+22
-30157.364346933537,-16197.266791048529,5.7409456e+22,-4.6074093e+21
-7119.367078688247,-14594.096779568534,6.2247182e+22,8.7183485e+21
18765.56937870918,-8246.028119501645,4.6467456e+22,1.938325e+22
38512.42418006229,209.9870040225688,1.2143256e+22,2.588972e+22
45139.12944162066,7688.754916518674,-2.1423572e+22,1.6773215e+22
36174.299654503295,11775.425071727128,-5.814054e+22,9.199481e+21
14573.90572148944,11504.86489346728,-7.7894935e+22,-3.265711e+21
-12247.895830777908,7511.073605422654,-5.3050962e+22,-1.2735754e+22
-34974.95080460516,1615.2846463274525,-2.098128e+22,-2.2049876e+22
-45651.98231682963,-3969.5620183497144,1.9560284e+22,-1.48511e+22
-40527.49177635578,-7458.576854417011,5.21916e+22,-1.0240363e+22
-21354.06302444892,-8060.270385173988,9.205593e+22,-1.9520751e+21
5181.025503095304,-6081.546693422859,6.0728668e+22,6.490737e+21
29814.116359588956,-2632.9139735137474,2.8301561e+22,1.5600946e+22
43984.20091949653,912.6358251750106,-1.797741e+22,1.2500431e+22
42833.31060898822,3444.5945082932926,-4.299669e+22,8.468558e+21
26894.489361352084,4462.223835479587,-9.567964e+22,6.026287e+21
1865.6537665082076,4094.746578440092,-7.096278e+22,-1.1325174e+21
-23445.856641442973,2859.053823999591,-3.12338e+22,-8.064358e+21
-40252.893386480115,1381.068372609972,1.4678044e+22,-9.2717925e+21
-42881.76914837804,84.80244393219125,3.5471783e+22,-5.9093735e+21
-30702.522915069057,-908.597613559192,8.384603e+22,-7.7291655e+21
-8274.295600812375,-1683.9342437963692,7.9899685e+22,-3.4407783e+21
16407.253795071098,-2346.200948790625,3.072893e+22,1.8414546e+21
34752.84916573514,-2855.0156123837723,-1.0163244e+22,5.0648365e+21
40640.5617015987,-2980.20017247415,-3.1082327e+22,4.092273e+21
32451.06854471852,-2422.9269694911786,-6.124535e+22,6.8998316e+21
13499.741431681685,-981.2854226439274,-7.931772e+22,6.854323e+21
-9283.848504767033,1163.0049453557658,-3.02842e+22,2.0244426e+21
-27936.34795823329,3472.8619896040227,6.4144336e+21,-1.0911756e+21
-36275.25494489876,5132.566963705481,2.7334048e+22,-3.0880333e+21
-31950.33030435701,5350.630390959686,3.8315977e+22,-4.8929634e+21
-17089.71155814445,3755.536802711327,6.4813306e+22,-8.045791e+21
2665.219666440297,589.5788959095202,3.0497393e+22,-4.1166996e+21
20348.548332110084,-3234.607504270723,-3.929069e+21,-1.2101361e+21
30121.02044239117,-6424.7946807674425,-2.1839114e+22,2.2572799e+21
29224.537463679433,-7721.060609445223,-2.2208439e+22,3.2822592e+21
18741.34010901427,-6444.985738846535,-4.159444e+22,6.718698e+21
2903.4741517735956,-2782.327803299037,-2.807018e+22,5.07036e+21
-12583.067394890855,2180.634272542061,1.4720716e+21,1.7513753e+21
-22650.328953126704,6788.233726191119,1.4919442e+22,-1.4066135e+21
-24491.75344994,9372.689160315043,1.3113828e+22,-2.5353048e+21
-18337.518947432403,8871.950919953533,2.0154678e+22,-4.0901343e+21
-7018.411788292781,5265.827947027495,2.07331e+22,-4.786897e+21
5237.560465716765,-383.63010350276994,1.2438199e+21,-1.5660864e+21
14440.644738167424,-6202.693041897417,-8.38796e+21,7.792179e+20
18123.493731794017,-10188.407906710408,-7.722142e+21,2.0954785e+21
15926.70661278868,-10862.789246552118,-7.164042e+21,1.917825e+21
9413.071276473229,-7846.2451695356,-1.1078959e+22,3.3548248e+21
1195.3106382823148,-2031.2204427567715,-2.792388e+21,1.4319019e+21
-6089.623116654496,4696.4401091970685,3.5967213e+21,-4.5668544e+20
-10620.496549603,10079.376193083304,3.8786222e+21,-1.4927285e+21
-11783.501494958766,12227.704772698817,1.959598e+21,-8.922917e+20
-10006.688383998568,10325.70710164824,3.7183202e+21,-1.6351084e+21
-6319.801178756158,4898.350689987999,2.3199905e+21,-1.2920028e+21
-1841.4244968132955,-2334.086313943169,-8.654151e+20,2.00036e+20
2556.1879528131935,-8989.059056812273,-1.3583749e+21,8.380705e+20
6287.495485829609,-12825.360091839972,-4.8462015e+20,5.452421e+20
8896.180189648445,-12494.226739342845,-4.888055e+20,5.4425417e+20
9921.885940066377,-7999.697210936708,-8.618352e+20,9.2842016e+20
8875.989131569351,-738.9927256948096,-1.2449885e+20,1.3902675e+20
5491.967797513338,6949.762190823864,1.8627645e+20,-3.6536722e+20
60.57317423727947,12538.64706711685,-3.2375934e+19,-3.075664e+20
-6352.106871682707,14129.702443749393,-1.8424179e+20,-1.7705399e+20
-11940.991747975691,11101.043731885416,-1.111595e+20,-4.945671e+20
-14674.861011884906,4337.03927538921,5.6930056e+19,-4.311699e+20
-13011.11782616763,-4034.173404202813,1.284583e+20,-1.3380643e+19
-6719.584128722202,-11298.91610106053,3.17123e+20,5.7298735e+19
2754.0603219883064,-15046.37648054022,3.839802e+20,5.9094475e+19
12506.3413741903,-13939.906497805914,4.7692318e+20,2.4857615e+20
19048.244191816484,-8213.722426575096,4.1233825e+20,5.932909e+20
19573.211701872904,387.66831511858857,-9.081268e+19,5.884936e+20
13168.608079184556,9114.243616902651,-6.0920685e+20,3.2257697e+20
1429.5269119997954,15094.835019930044,-9.136307e+20,1.5713571e+20
-11876.380362122594,16265.916388517446,-1.169853e+21,-1.4933755e+20
-21988.062248132446,12094.4437893768,-1.2139851e+21,-7.9034845e+20
-24895.57461152186,3775.72786079042,-2.1276166e+20,-1.5434383e+21
-18963.44174788429,-6061.355635343765,1.4033475e+21,-1.350949e+21
-5722.1458596150005,-14194.313829602488,2.035923e+21,-6.918378e+20
10414.54775719625,-17861.009976765807,2.9356937e+21,-1.0891549e+20
23639.690799002263,-15684.413915839565,2.8269357e+21,1.2418644e+21
28881.28947633485,-8189.493156880184,8.952648e+20,2.9135013e+21
23768.913570708464,2289.6659861691637,-3.042379e+21,3.635202e+21
9691.707877964714,12328.66006309428,-4.4279808e+21,2.1232662e+21
-8520.626509377313,18539.429528223336,-5.947305e+21,9.422554e+20
-24253.4989646067,18696.919781240264,-5.6304453e+21,-1.9034465e+21
-31554.585566006783,12554.799913580124,-1.8225071e+21,-4.7017845e+21
-27411.380448176868,1982.761903366948,5.394888e+21,-7.287196e+21
-13003.041402935993,-9570.561529490156,8.834024e+21,-5.3537503e+21
6578.24672216855,-18204.25796411039,1.014649e+22,-2.872186e+21
24156.58188582705,-20897.745111861415,9.433992e+21,2.355028e+21
33093.144191633684,-16560.705836472207,2.524951e+21,6.85097e+21
29866.613110594597,-6481.329643388903,-8.100476e+21,1.1708009e+22
15450.197642122082,6061.355635343765,-1.5237674e+22,1.0905173e+22
-4926.61817129873,16827.227803116235,-1.5354987e+22,6.371924e+21
-23688.14933839209,22097.09396175955,-1.352705e+22,-1.973215e+21
-33755.41089662794,19928.574324064943,-2.4025477e+21,-9.133352e+21
-31235.566848357113,10903.171362710304,1.0903845e+22,-1.5886531e+22
-16960.48878643825,-2019.1058079093157,2.2765248e+22,-1.8300402e+22
3775.72786079042,-14481.026854325612,2.1150978e+22,-1.1514353e+22
23159.14361671985,-22181.89640569174,1.7082589e+22,2.4567516e+20
33848.28976379176,-22412.0744677934,1.0386539e+21,1.1077992e+22
31744.38151195026,-14953.497613376392,-1.3693441e+22,1.8827429e+22
17598.526221737593,-2285.6277745533453,-3.0232622e+22,2.6065312e+22
-3218.454657807449,11311.030735907983,-2.6931276e+22,1.7672449e+22
-22791.666359680356,21156.190655273807,-1.944218e+22,2.8892584e+21
-33654.45560623247,23833.52495656156,1.6144673e+21,-1.2109628e+22
-31655.54085640225,18357.710005511497,1.6459342e+22,-1.9964772e+22
-17562.182317195227,6558.055664089457,3.667355e+22,-3.2319234e+22
3206.3400229599933,-7543.379298349203,3.226266e+22,-2.37227e+22
22690.711069284887,-19096.702731206307,2.0331055e+22,-6.8871337e+21
33412.162909283354,-24128.31440451632,-5.1691934e+21,1.1672175e+22
31263.834329667843,-20893.706900245597,-1.9119023e+22,1.9312205e+22
17105.86440460772,-10511.464835975898,-4.146327e+22,3.5458477e+22
