I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-0.15149531,0.10091564
-100.95529039546578,-835.9098044744567,-0.26560166,-0.04716672
2035.2586543725904,-11694.660839410755,-0.2467231,-0.38445187
3646.505089084224,-19403.606814008523,-0.13189545,-0.76537645
4498.567740021955,-21446.94189161275,-0.1123793,-1.0972171
4442.0327774004945,-16891.839188969334,-0.1605053,-1.2726914
3408.2506037509247,-6828.615842349305,-0.15758997,-1.1203141
1465.870816542163,5879.636112631927,-0.04181683,-0.52619326
-1070.1260781919373,17336.042466709383,0.04341793,0.23491007
-3662.6579355474983,23805.25747525083,-0.04246384,0.7973802
-5580.808453061349,22920.88913138655,-0.24510325,1.0212433
-6121.928809581045,14569.867509873622,-0.45266354,0.87027645
-4890.2742667563625,1053.9732317286628,-0.37104055,0.40511587
-1958.532633672036,-13467.435738755135,0.09980911,-0.115863994
1966.6090569036735,-24253.4989646067,0.37142935,-0.60771775
5734.260494462456,-27536.565008267247,0.2509509,-1.1295989
8072.385020021444,-21822.495571883883,0.0031666756,-1.5501807
8003.735422552527,-8569.085048767136,-0.11334077,-1.5531565
5277.9425818749505,8136.996405874542,0.05698219,-0.7645254
524.967510056422,22832.04847583854,0.1788865,0.33516386
-4841.815727366539,30456.192006504116,0.016393825,1.1090088
-9053.67044266537,28089.799999634397,-0.20292696,1.4254045
-10576.076221828996,16108.42613550052,-0.33603024,1.2527356
-8657.925704315145,-1801.0423806551096,0.0034966469,0.65039265
-3682.848993626591,-19750.893012968925,0.6534412,0.07543114
2883.283093694503,-31570.73841247006,0.69686544,-0.5323639
8928.485882574994,-32984.11247800658,0.31150696,-1.2593557
12356.92754440501,-23130.87613540912,-0.08207527,-1.8629432
11844.074669196045,-5027.573461694195,-0.16505319,-1.8078783
7329.354082710815,15312.898447184249,0.17151234,-0.6094854
96.91707877964714,30920.58634232326,0.18824488,0.67583275
-7567.608568044115,36251.025675203855,-0.07230206,1.4386941
-13099.95848171564,29168.002501057977,-0.232904,1.6983695
-14545.638240178709,11835.998245964409,-0.13184586,1.3868449
-11206.0372338967,-9950.153421377106,0.64929044,0.715515
-3965.523806733896,-28687.455318775555,1.1451132,0.190361
4938.732806146186,-37781.50787759911,0.8093966,-0.5640459
12619.411299433224,-33884.633668334136,0.24249014,-1.47749
16463.78875769256,-18139.646578257292,-0.15292525,-2.1663399
15022.147210845307,4106.861213287548,-0.0011748075,-1.6932604
8528.702932608949,25158.05836655007,0.38456425,-0.17172237
-1070.1260781919373,37615.94120135055,0.13105956,1.021602
-10745.681109693378,37042.51515190431,-0.15854953,1.6533554
-17299.698562167017,23530.65908537516,-0.17908333,1.8145682
-18414.24496813296,1748.5456296494674,0.42216197,1.3068296
-13495.703220065863,-20691.796319454665,1.4267175,0.8211452
-3892.8359976491606,-35911.815899475085,1.418182,0.30660114
7434.3475847221,-38560.88271945211,0.84454703,-0.6544531
16815.11316826878,-27710.208107747447,0.21437305,-1.7792393
21051.197153262525,-7212.245945852075,0.009916276,-2.3035655
18511.162046912606,15692.4903390712,0.4679173,-1.2062094
9707.86072442799,32931.615727000935,0.55299664,0.22833219
-2729.831052293395,38476.08027551992,0.073340505,1.2329595
-14836.38947651765,30492.535911046485,-0.16852239,1.7944883
-22581.679355657787,11928.877113128236,0.20206001,1.7685102
-23163.18182833567,-10551.846952134085,1.3583459,1.2514054
-16039.776538031603,-28978.2065551145,1.9777869,1.0638363
-3206.3400229599933,-36941.55986150884,1.5892706,0.4057133
11302.95431267635,-31813.031109419175,0.93955827,-0.85647166
22718.97855059562,-15656.146434528831,0.3909134,-2.1357903
27043.90319113737,5621.190569219535,0.5374588,-2.0392437
22464.571218799047,24410.989217623624,0.9934,-0.76647186
10091.49082793076,34175.384904673076,0.65279746,0.45124498
-6271.342639366334,31708.037607407892,0.040427327,1.4085493
-21269.26058051673,18232.52544542112,0.027019948,1.9229923
-29757.581396967493,-1195.3106382823148,1.0772095,1.5587472
-28517.850430911178,-19565.135278641268,2.1425211,1.4510251
-17517.761989421222,-30456.192006504116,2.2426388,1.287012
-68.64959746891672,-30314.854599950464,1.7939199,0.3439835
18167.914059568026,-19605.517394799455,1.0992805,-1.2713197
30973.0830933289,-2499.652990191733,0.8351476,-2.2785332
33710.99056885394,14747.54882096964,1.1964943,-1.6438171
25004.606325148965,26086.847038188356,1.3370669,-0.5834117
7365.697987253183,27823.27803299037,0.6368525,0.6295253
-13483.58858521841,19807.427975590384,0.030243158,1.6987234
-30484.459487814845,5326.401121264775,0.6975421,1.8163475
-37603.82656650309,-10224.751811252774,1.7811406,1.5022899
-32010.90347859429,-21370.2158709122,2.3942385,1.6086634
-15183.675675478053,-24471.562391860905,2.31202,1.223039
7442.424007953738,-18939.21247818938,1.8746845,-0.09594548
28202.86992487732,-7224.360580699531,1.3067168,-1.8240983
39836.9575900508,6202.693041897417,1.2934018,-2.2110286
38007.64772808496,16568.782259703843,1.5407155,-1.535568
22973.385882392195,20510.07679674283,1.310692,-0.5203409
-411.8975848135004,17138.170097534272,0.36755893,0.95672286
-24217.15506006433,8181.416733648547,0.252688,1.8373116
-40164.052730932104,-2830.7863426888603,1.3313407,1.5574689
-42514.29189133855,-11945.029959591511,1.9126171,1.4928634
-30157.364346933537,-16197.266791048529,2.1948225,1.43302
-7119.367078688247,-14594.096779568534,2.125876,0.7020372
18765.56937870918,-8246.028119501645,1.589201,-0.90164554
38512.42418006229,209.9870040225688,1.2668567,-2.2730067
45139.12944162066,7688.754916518674,1.2706366,-2.2678378
36174.299654503295,11775.425071727128,1.2576973,-1.5945513
14573.90572148944,11504.86489346728,0.6859144,-0.29210234
-12247.895830777908,7511.073605422654,-0.009121612,1.2846999
-34974.95080460516,1615.2846463274525,0.70040405,1.5595714
-45651.98231682963,-3969.5620183497144,1.4257717,1.3760799
-40527.49177635578,-7458.576854417011,1.6873156,1.3046865
-21354.06302444892,-8060.270385173988,1.8882099,0.9454037
5181.025503095304,-6081.546693422859,1.6155747,-0.128147
29814.116359588956,-2632.9139735137474,1.1269172,-1.7587665
