I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,0.0,0.0
-100.95529039546578,-835.9098044744567,0.0,0.0
2035.2586543725904,-11694.660839410755,0.0,0.0
3646.505089084224,-19403.606814008523,0.0,0.0
4498.567740021955,-21446.94189161275,0.0,0.0
4442.0327774004945,-16891.839188969334,0.0,0.0
3408.2506037509247,-6828.615842349305,0.0,0.0
1465.870816542163,5879.636112631927,0.0,0.0
-1070.1260781919373,17336.042466709383,0.0,0.0
-3662.6579355474983,23805.25747525083,0.0,0.0
-5580.808453061349,22920.88913138655,0.0,0.0
-6121.928809581045,14569.867509873622,0.0,0.0
-4890.2742667563625,1053.9732317286628,0.0,0.0
-1958.532633672036,-13467.435738755135,0.0,0.0
1966.6090569036735,-24253.4989646067,0.0,0.0
5734.260494462456,-27536.565008267247,0.0,0.0
8072.385020021444,-21822.495571883883,0.0,0.0
8003.735422552527,-8569.085048767136,0.0,0.0
5277.9425818749505,8136.996405874542,0.0,0.0
524.967510056422,22832.04847583854,0.0,0.0
-4841.815727366539,30456.192006504116,0.0,0.0
-9053.67044266537,28089.799999634397,0.0,0.0
-10576.076221828996,16108.42613550052,0.0,0.0
-8657.925704315145,-1801.0423806551096,0.0,0.0
-3682.848993626591,-19750.893012968925,0.0,0.0
2883.283093694503,-31570.73841247006,0.0,0.0
8928.485882574994,-32984.11247800658,0.0,0.0
12356.92754440501,-23130.87613540912,0.0,0.0
11844.074669196045,-5027.573461694195,0.0,0.0
7329.354082710815,15312.898447184249,0.0,0.0
96.91707877964714,30920.58634232326,0.0,0.0
-7567.608568044115,36251.025675203855,0.0,0.0
-13099.95848171564,29168.002501057977,0.0,0.0
-14545.638240178709,11835.998245964409,0.0,0.0
-11206.0372338967,-9950.153421377106,0.0,0.0
-3965.523806733896,-28687.455318775555,0.0,0.0
4938.732806146186,-37781.50787759911,0.0,0.0
12619.411299433224,-33884.633668334136,0.0,0.0
16463.78875769256,-18139.646578257292,0.0,0.0
15022.147210845307,4106.861213287548,0.0,0.0
8528.702932608949,25158.05836655007,0.0,0.0
-1070.1260781919373,37615.94120135055,0.0,0.0
-10745.681109693378,37042.51515190431,0.0,0.0
-17299.698562167017,23530.65908537516,0.0,0.0
-18414.24496813296,1748.5456296494674,0.0,0.0
-13495.703220065863,-20691.796319454665,0.0,0.0
-3892.8359976491606,-35911.815899475085,0.0,0.0
7434.3475847221,-38560.88271945211,0.0,0.0
16815.11316826878,-27710.208107747447,0.0,0.0
21051.197153262525,-7212.245945852075,0.0,0.0
18511.162046912606,15692.4903390712,0.0,0.0
9707.86072442799,32931.615727000935,0.0,0.0
-2729.831052293395,38476.08027551992,0.0,0.0
-14836.38947651765,30492.535911046485,0.0,0.0
-22581.679355657787,11928.877113128236,0.0,0.0
-23163.18182833567,-10551.846952134085,0.0,0.0
-16039.776538031603,-28978.2065551145,0.0,0.0
-3206.3400229599933,-36941.55986150884,0.0,0.0
11302.95431267635,-31813.031109419175,0.0,0.0
22718.97855059562,-15656.146434528831,0.0,0.0
27043.90319113737,5621.190569219535,0.0,0.0
22464.571218799047,24410.989217623624,0.0,0.0
10091.49082793076,34175.384904673076,0.0,0.0
-6271.342639366334,31708.037607407892,0.0,0.0
-21269.26058051673,18232.52544542112,0.0,0.0
-29757.581396967493,-1195.3106382823148,0.0,0.0
-28517.850430911178,-19565.135278641268,0.0,0.0
-17517.761989421222,-30456.192006504116,0.0,0.0
-68.64959746891672,-30314.854599950464,0.0,0.0
18167.914059568026,-19605.517394799455,0.0,0.0
30973.0830933289,-2499.652990191733,0.0,0.0
33710.99056885394,14747.54882096964,0.0,0.0
25004.606325148965,26086.847038188356,0.0,0.0
7365.697987253183,27823.27803299037,0.0,0.0
-13483.58858521841,19807.427975590384,0.0,0.0
-30484.459487814845,5326.401121264775,0.0,0.0
-37603.82656650309,-10224.751811252774,0.0,0.0
-32010.90347859429,-21370.2158709122,0.0,0.0
-15183.675675478053,-24471.562391860905,0.0,0.0
7442.424007953738,-18939.21247818938,0.0,0.0
28202.86992487732,-7224.360580699531,0.0,0.0
39836.9575900508,6202.693041897417,0.0,0.0
38007.64772808496,16568.782259703843,0.0,0.0
22973.385882392195,20510.07679674283,0.0,0.0
-411.8975848135004,17138.170097534272,0.0,0.0
-24217.15506006433,8181.416733648547,0.0,0.0
-40164.052730932104,-2830.7863426888603,0.0,0.0
-42514.29189133855,-11945.029959591511,0.0,0.0
-30157.364346933537,-16197.266791048529,0.0,0.0
-7119.367078688247,-14594.096779568534,0.0,0.0
18765.56937870918,-8246.028119501645,0.0,0.0
38512.42418006229,209.9870040225688,0.0,0.0
45139.12944162066,7688.754916518674,0.0,0.0
36174.299654503295,11775.425071727128,0.0,0.0
14573.90572148944,11504.86489346728,0.0,0.0
-12247.895830777908,7511.073605422654,0.0,0.0
-34974.95080460516,1615.2846463274525,0.0,0.0
-45651.98231682963,-3969.5620183497144,0.0,0.0
-40527.49177635578,-7458.576854417011,0.0,0.0
-21354.06302444892,-8060.270385173988,0.0,0.0
5181.025503095304,-6081.546693422859,0.0,0.0
29814.116359588956,-2632.9139735137474,0.0,0.0
43984.20091949653,912.6358251750106,0.0,0.0
42833.31060898822,3444.5945082932926,0.0,0.0
26894.489361352084,4462.223835479587,0.0,0.0
1865.6537665082076,4094.746578440092,0.0,0.0
-23445.856641442973,2859.053823999591,0.0,0.0
-40252.893386480115,1381.068372609972,0.0,0.0
-42881.76914837804,84.80244393219125,0.0,0.0
-30702.522915069057,-908.597613559192,0.0,0.0
-8274.295600812375,-1683.9342437963692,0.0,0.0
16407.253795071098,-2346.200948790625,0.0,0.0
34752.84916573514,-2855.0156123837723,0.0,0.0
40640.5617015987,-2980.20017247415,0.0,0.0
32451.06854471852,-2422.9269694911786,0.0,0.0
13499.741431681685,-981.2854226439274,0.0,0.0
-9283.848504767033,1163.0049453557658,0.0,0.0
-27936.34795823329,3472.8619896040227,0.0,0.0
-36275.25494489876,5132.566963705481,0.0,0.0
-31950.33030435701,5350.630390959686,0.0,0.0
-17089.71155814445,3755.536802711327,0.0,0.0
2665.219666440297,589.5788959095202,0.0,0.0
20348.548332110084,-3234.607504270723,0.0,0.0
30121.02044239117,-6424.7946807674425,0.0,0.0
29224.537463679433,-7721.060609445223,0.0,0.0
18741.34010901427,-6444.985738846535,0.0,0.0
2903.4741517735956,-2782.327803299037,0.0,0.0
-12583.067394890855,2180.634272542061,0.0,0.0
-22650.328953126704,6788.233726191119,0.0,0.0
-24491.75344994,9372.689160315043,0.0,0.0
-18337.518947432403,8871.950919953533,0.0,0.0
-7018.411788292781,5265.827947027495,0.0,0.0
5237.560465716765,-383.63010350276994,0.0,0.0
14440.644738167424,-6202.693041897417,0.0,0.0
18123.493731794017,-10188.407906710408,0.0,0.0
15926.70661278868,-10862.789246552118,0.0,0.0
9413.071276473229,-7846.2451695356,0.0,0.0
1195.3106382823148,-2031.2204427567715,0.0,0.0
-6089.623116654496,4696.4401091970685,0.0,0.0
-10620.496549603,10079.376193083304,0.0,0.0
-11783.501494958766,12227.704772698817,0.0,0.0
-10006.688383998568,10325.70710164824,0.0,0.0
-6319.801178756158,4898.350689987999,0.0,0.0
-1841.4244968132955,-2334.086313943169,0.0,0.0
2556.1879528131935,-8989.059056812273,0.0,0.0
6287.495485829609,-12825.360091839972,0.0,0.0
8896.180189648445,-12494.226739342845,0.0,0.0
9921.885940066377,-7999.697210936708,0.0,0.0
8875.989131569351,-738.9927256948096,0.0,0.0
5491.967797513338,6949.762190823864,0.0,0.0
60.57317423727947,12538.64706711685,0.0,0.0
-6352.106871682707,14129.702443749393,0.0,0.0
-11940.991747975691,11101.043731885416,0.0,0.0
-14674.861011884906,4337.03927538921,0.0,0.0
-13011.11782616763,-4034.173404202813,0.0,0.0
-6719.584128722202,-11298.91610106053,0.0,0.0
2754.0603219883064,-15046.37648054022,0.0,0.0
12506.3413741903,-13939.906497805914,0.0,0.0
19048.244191816484,-8213.722426575096,0.0,0.0
19573.211701872904,387.66831511858857,0.0,0.0
13168.608079184556,9114.243616902651,0.0,0.0
1429.5269119997954,15094.835019930044,0.0,0.0
-11876.380362122594,16265.916388517446,0.0,0.0
-21988.062248132446,12094.4437893768,0.0,0.0
-24895.57461152186,3775.72786079042,0.0,0.0
-18963.44174788429,-6061.355635343765,0.0,0.0
-5722.1458596150005,-14194.313829602488,0.0,0.0
10414.54775719625,-17861.009976765807,0.0,0.0
23639.690799002263,-15684.413915839565,0.0,0.0
28881.28947633485,-8189.493156880184,0.0,0.0
23768.913570708464,2289.6659861691637,0.0,0.0
9691.707877964714,12328.66006309428,0.0,0.0
-8520.626509377313,18539.429528223336,0.0,0.0
-24253.4989646067,18696.919781240264,0.0,0.0
-31554.585566006783,12554.799913580124,0.0,0.0
-27411.380448176868,1982.761903366948,0.0,0.0
-13003.041402935993,-9570.561529490156,0.0,0.0
6578.24672216855,-18204.25796411039,0.0,0.0
24156.58188582705,-20897.745111861415,0.0,0.0
33093.144191633684,-16560.705836472207,0.0,0.0
29866.613110594597,-6481.329643388903,0.0,0.0
15450.197642122082,6061.355635343765,0.0,0.0
-4926.61817129873,16827.227803116235,0.0,0.0
-23688.14933839209,22097.09396175955,0.0,0.0
-33755.41089662794,19928.574324064943,0.0,0.0
-31235.566848357113,10903.171362710304,0.0,0.0
-16960.48878643825,-2019.1058079093157,0.0,0.0
3775.72786079042,-14481.026854325612,0.0,0.0
23159.14361671985,-22181.89640569174,0.0,0.0
33848.28976379176,-22412.0744677934,0.0,0.0
31744.38151195026,-14953.497613376392,0.0,0.0
17598.526221737593,-2285.6277745533453,0.0,0.0
-3218.454657807449,11311.030735907983,0.0,0.0
-22791.666359680356,21156.190655273807,0.0,0.0
-33654.45560623247,23833.52495656156,0.0,0.0
-31655.54085640225,18357.710005511497,0.0,0.0
-17562.182317195227,6558.055664089457,0.0,0.0
3206.3400229599933,-7543.379298349203,0.0,0.0
22690.711069284887,-19096.702731206307,0.0,0.0
33412.162909283354,-24128.31440451632,0.0,0.0
31263.834329667843,-20893.706900245597,0.0,0.0
17105.86440460772,-10511.464835975898,0.0,0.0
-3594.008338078582,3440.5562966774737,0.0,0.0
-22840.12489907018,16168.9993097378,0.0,0.0
-33238.519809803154,23300.481023273504,0.0,0.0
-30803.47820546452,22428.227314256677,0.0,0.0
-16504.170873850744,13899.524381647729,0.0,0.0
4118.975848135004,702.6488211524419,0.0,0.0
23106.646865714207,-12611.334876201585,0.0,0.0
33153.717365870965,-21475.20937292348,0.0,0.0
30419.84810196175,-22912.812708154914,0.0,0.0
15999.394421873416,-16536.476566777295,0.0,0.0
-4526.835221332685,-4619.714088496514,0.0,0.0
-23276.251753578592,8686.193185625876,0.0,0.0
-33056.80028709131,18826.142552946458,0.0,0.0
-30177.55540501263,22399.959832945948,0.0,0.0
-15789.407417850847,18305.213254505856,0.0,0.0
4551.064491027598,8076.423231637263,0.0,0.0
23074.34117278766,-4692.40189758125,0.0,0.0
32757.972627520736,-15615.764318370646,0.0,0.0
29995.83588230079,-21026.967883567613,0.0,0.0
15934.78303602032,-19197.658021601772,0.0,0.0
-4001.867711276263,-10911.24778594194,0.0,0.0
-22254.58421477648,888.4065554800989,0.0,0.0
-31990.712420515196,12118.673059071712,0.0,0.0
-29692.97001111439,18995.747440810843,0.0,0.0
-16391.100948607826,19286.498677149782,0.0,0.0
2770.213168451581,13039.38530747836,0.0,0.0
20594.879240675014,2519.844048270826,0.0,0.0
30500.61233427812,-8613.505376541141,0.0,0.0
29034.74151773596,-16568.782259703843,0.0,0.0
17000.870902596438,-18721.149050935175,0.0,0.0
-904.5594019433734,-14468.912219478156,0.0,0.0
-17982.156325240365,-5386.974295502054,0.0,0.0
-28061.532518323667,5322.362909648956,0.0,0.0
-27730.39916582654,13992.403248811555,0.0,0.0
-17509.685566189586,17699.48151213306,0.0,0.0
-1453.7561816947073,15272.516331026063,0.0,0.0
14436.606526551606,7656.449223592124,0.0,0.0
24532.135566098183,-2451.194450801909,0.0,0.0
25545.72668166866,-11525.055951546374,0.0,0.0
17618.717279816687,-16455.71233446092,0.0,0.0
4046.288039050268,-15603.64968352319,0.0,0.0
-10099.567251162396,-9344.421679004312,0.0,0.0
-19892.230419522577,80.76423231637263,0.0,0.0
-22286.889907703026,9352.49810223595,0.0,0.0
-17033.176595522986,15211.943156788784,0.0,0.0
-6533.826394394545,15652.108222913015,0.0,0.0
5237.560465716765,10551.846952134085,0.0,0.0
14262.963427071403,1756.6220528811043,0.0,0.0
17885.23924646072,-7591.837837739026,0.0,0.0
15502.694393127726,-14157.96992506012,0.0,0.0
8573.123260382954,-15599.611471907372,0.0,0.0
-201.91058079093156,-11411.986026303452,0.0,0.0
-7906.81834377288,-3105.384732564527,0.0,0.0
-12409.424295410654,6303.648332292883,0.0,0.0
-12889.97147769307,13406.862564517856,0.0,0.0
-9833.045284518366,15615.764318370646,0.0,0.0
-4599.523030417421,12082.329154529343,0.0,0.0
1171.081368587403,4086.6701552084546,0.0,0.0
6073.470270191221,-5455.623892970971,0.0,0.0
9182.893214371568,-13027.270672630904,0.0,0.0
10087.45261631494,-15813.63668754576,0.0,0.0
8766.957417942249,-12720.366589828687,0.0,0.0
5496.006009129157,-4833.739304134901,0.0,0.0
795.5276883162703,4946.809229377824,0.0,0.0
-4498.567740021955,12986.888556472715,0.0,0.0
-9207.12248406648,16249.763542054172,0.0,0.0
