I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-1.584989,-1.2311728
-100.95529039546578,-835.9098044744567,-1.6080306,-1.2198466
2035.2586543725904,-11694.660839410755,-1.5531877,-1.1328546
3646.505089084224,-19403.606814008523,-1.3897531,-0.8367817
4498.567740021955,-21446.94189161275,-1.2254233,-0.59228915
4442.0327774004945,-16891.839188969334,-1.2140851,-0.71247655
3408.2506037509247,-6828.615842349305,-1.2653551,-0.95439816
1465.870816542163,5879.636112631927,-1.3101987,-1.0346353
-1070.1260781919373,17336.042466709383,-1.260751,-0.8496407
-3662.6579355474983,23805.25747525083,-1.0425119,-0.42163295
-5580.808453061349,22920.88913138655,-0.9508834,-0.27240515
-6121.928809581045,14569.867509873622,-1.0342749,-0.60382444
-4890.2742667563625,1053.9732317286628,-1.1256696,-0.8670657
-1958.532633672036,-13467.435738755135,-1.1625344,-0.8500022
1966.6090569036735,-24253.4989646067,-0.9456526,-0.3714049
5734.260494462456,-27536.565008267247,-0.6592163,0.12761235
8072.385020021444,-21822.495571883883,-0.7425726,-0.038659573
8003.735422552527,-8569.085048767136,-0.887319,-0.5643573
5277.9425818749505,8136.996405874542,-0.9924999,-0.7498562
524.967510056422,22832.04847583854,-0.87062687,-0.37767845
-4841.815727366539,30456.192006504116,-0.37959296,0.37226248
-9053.67044266537,28089.799999634397,-0.34873593,0.60450983
-10576.076221828996,16108.42613550052,-0.603906,-0.05663538
-8657.925704315145,-1801.0423806551096,-0.76059026,-0.5276395
-3682.848993626591,-19750.893012968925,-0.76589936,-0.3764038
2883.283093694503,-31570.73841247006,-0.19639218,0.4570763
8928.485882574994,-32984.11247800658,0.118463874,1.0679041
12356.92754440501,-23130.87613540912,-0.29839945,0.6150665
11844.074669196045,-5027.573461694195,-0.5221346,-0.20727468
7329.354082710815,15312.898447184249,-0.6226969,-0.3278916
96.91707877964714,30920.58634232326,-0.13975787,0.43706012
-7567.608568044115,36251.025675203855,0.5038227,1.2739271
-13099.95848171564,29168.002501057977,0.07238436,1.2375375
-14545.638240178709,11835.998245964409,-0.325377,0.20738316
-11206.0372338967,-9950.153421377106,-0.4744178,-0.21308994
-3965.523806733896,-28687.455318775555,-0.17121196,0.36888754
4938.732806146186,-37781.50787759911,0.6882547,1.3018976
12619.411299433224,-33884.633668334136,0.4909302,1.6057531
16463.78875769256,-18139.646578257292,-0.16114104,0.69823015
15022.147210845307,4106.861213287548,-0.34275687,-0.028466582
8528.702932608949,25158.05836655007,-0.2097851,0.3029158
-1070.1260781919373,37615.94120135055,0.6815003,1.2322851
-10745.681109693378,37042.51515190431,0.797912,1.740991
-17299.698562167017,23530.65908537516,0.018942118,1.1646763
-18414.24496813296,1748.5456296494674,-0.23668861,0.22046995
-13495.703220065863,-20691.796319454665,-0.21029091,0.2902565
-3892.8359976491606,-35911.815899475085,0.549037,1.1312109
7434.3475847221,-38560.88271945211,0.8969394,1.7455901
16815.11316826878,-27710.208107747447,0.20214915,1.4753472
21051.197153262525,-7212.245945852075,-0.15971708,0.5119437
18511.162046912606,15692.4903390712,-0.1787734,0.36830163
9707.86072442799,32931.615727000935,0.38296783,1.0577668
-2729.831052293395,38476.08027551992,0.8107227,1.6844262
-14836.38947651765,30492.535911046485,0.3062123,1.5966424
-22581.679355657787,11928.877113128236,-0.09738171,0.7877542
-23163.18182833567,-10551.846952134085,-0.12572551,0.5422567
-16039.776538031603,-28978.2065551145,0.2736416,1.0621256
-3206.3400229599933,-36941.55986150884,0.629676,1.6037956
11302.95431267635,-31813.031109419175,0.28199923,1.562586
22718.97855059562,-15656.146434528831,-0.05144286,0.9562119
27043.90319113737,5621.190569219535,-0.05444944,0.7700676
22464.571218799047,24410.989217623624,0.26556253,1.1774944
10091.49082793076,34175.384904673076,0.46259773,1.5594078
-6271.342639366334,31708.037607407892,0.16617501,1.4174639
-21269.26058051673,18232.52544542112,-0.046694517,0.95065105
-29757.581396967493,-1195.3106382823148,0.03284502,0.9576274
-28517.850430911178,-19565.135278641268,0.37096035,1.3799807
-17517.761989421222,-30456.192006504116,0.39830267,1.6082741
-68.64959746891672,-30314.854599950464,0.0458436,1.2366849
18167.914059568026,-19605.517394799455,-0.0931232,0.77971494
30973.0830933289,-2499.652990191733,0.10546517,1.0047537
33710.99056885394,14747.54882096964,0.58625436,1.5685061
25004.606325148965,26086.847038188356,0.49033332,1.7623752
