I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-0.7979111,-0.47378406
-100.95529039546578,-835.9098044744567,-1.7128636,-0.5166836
2035.2586543725904,-11694.660839410755,-1.018753,-0.962918
3646.505089084224,-19403.606814008523,0.034780547,-0.28467643
4498.567740021955,-21446.94189161275,-0.41535938,-0.66705835
4442.0327774004945,-16891.839188969334,-0.43965873,-0.51986676
3408.2506037509247,-6828.615842349305,-0.1422947,-0.055526618
1465.870816542163,5879.636112631927,0.8553532,1.0035712
-1070.1260781919373,17336.042466709383,0.48977575,0.47198623
-3662.6579355474983,23805.25747525083,0.17133796,0.5877617
-5580.808453061349,22920.88913138655,0.5994136,0.8045801
-6121.928809581045,14569.867509873622,0.5243032,0.43105122
-4890.2742667563625,1053.9732317286628,-0.39253184,-0.48322082
-1958.532633672036,-13467.435738755135,-0.80826044,-1.2650932
1966.6090569036735,-24253.4989646067,-0.53560925,-0.33854157
5734.260494462456,-27536.565008267247,-0.30169532,-0.6876701
8072.385020021444,-21822.495571883883,-0.667847,-0.7018925
8003.735422552527,-8569.085048767136,-0.41373682,-0.10104498
5277.9425818749505,8136.996405874542,0.8028131,1.0629727
524.967510056422,22832.04847583854,0.5037501,0.272614
-4841.815727366539,30456.192006504116,0.02652258,0.49623922
-9053.67044266537,28089.799999634397,0.4092184,0.6757659
-10576.076221828996,16108.42613550052,0.6361676,0.38850754
-8657.925704315145,-1801.0423806551096,-0.2214292,-0.63585955
-3682.848993626591,-19750.893012968925,-0.5031918,-0.31163615
2883.283093694503,-31570.73841247006,-0.102368906,-0.18035612
8928.485882574994,-32984.11247800658,0.28113112,-0.21337727
12356.92754440501,-23130.87613540912,-0.62122524,-0.575232
11844.074669196045,-5027.573461694195,-0.40812445,0.13978237
7329.354082710815,15312.898447184249,0.43995845,0.5295881
96.91707877964714,30920.58634232326,0.10155933,-0.2565277
-7567.608568044115,36251.025675203855,-0.75476754,-0.2939984
-13099.95848171564,29168.002501057977,0.42335373,0.610449
-14545.638240178709,11835.998245964409,0.63912594,0.14776464
-11206.0372338967,-9950.153421377106,-0.3075109,-0.74907213
-3965.523806733896,-28687.455318775555,-0.09283007,0.37510738
4938.732806146186,-37781.50787759911,0.69787467,0.47596708
12619.411299433224,-33884.633668334136,0.020938985,-0.33246815
16463.78875769256,-18139.646578257292,-0.6928258,-0.34238008
15022.147210845307,4106.861213287548,-0.041213665,0.63992155
8528.702932608949,25158.05836655007,0.05995129,-0.15646967
-1070.1260781919373,37615.94120135055,-0.5748568,-0.4783517
-10745.681109693378,37042.51515190431,-0.5770407,-0.14816046
-17299.698562167017,23530.65908537516,0.5833051,0.42293087
-18414.24496813296,1748.5456296494674,0.35154396,-0.3918461
-13495.703220065863,-20691.796319454665,0.0016284906,-0.20156159
-3892.8359976491606,-35911.815899475085,0.5254719,0.43492517
7434.3475847221,-38560.88271945211,0.9339652,0.5295683
16815.11316826878,-27710.208107747447,-0.3134812,-0.3508772
21051.197153262525,-7212.245945852075,-0.46208405,0.20020083
18511.162046912606,15692.4903390712,-0.13303103,0.4100602
9707.86072442799,32931.615727000935,-0.55521446,-0.3387121
-2729.831052293395,38476.08027551992,-1.087467,-0.68602365
-14836.38947651765,30492.535911046485,-0.088906564,0.124781035
-22581.679355657787,11928.877113128236,0.38515,-0.107735954
-23163.18182833567,-10551.846952134085,0.2828628,-0.41679177
-16039.776538031603,-28978.2065551145,0.65733624,0.20573333
-3206.3400229599933,-36941.55986150884,1.1664171,0.6564008
11302.95431267635,-31813.031109419175,0.49963525,0.1257348
22718.97855059562,-15656.146434528831,-0.15869224,0.115692645
27043.90319113737,5621.190569219535,-0.34377205,0.32744
22464.571218799047,24410.989217623624,-0.7940091,-0.13973704
10091.49082793076,34175.384904673076,-1.2694447,-0.56821245
-6271.342639366334,31708.037607407892,-0.8138003,-0.2518464
-21269.26058051673,18232.52544542112,-0.15704533,-0.19262987
-29757.581396967493,-1195.3106382823148,0.24121481,-0.25585598
-28517.850430911178,-19565.135278641268,0.8619336,0.16971397
-17517.761989421222,-30456.192006504116,1.3973594,0.5083434
-68.64959746891672,-30314.854599950464,1.0280641,0.21060883
18167.914059568026,-19605.517394799455,0.44647798,0.2309321
30973.0830933289,-2499.652990191733,-0.0027069089,0.23202467
33710.99056885394,14747.54882096964,-0.75832945,-0.22643106
25004.606325148965,26086.847038188356,-1.5021166,-0.52592516
7365.697987253183,27823.27803299037,-1.2132155,-0.088178456
-13483.58858521841,19807.427975590384,-0.6497071,-0.15584089
-30484.459487814845,5326.401121264775,-0.2749581,-0.23433003
-37603.82656650309,-10224.751811252774,0.426565,0.21079087
-32010.90347859429,-21370.2158709122,1.5059736,0.607992
