EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.53183571,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
1,100,1.06435392,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
2,100,1.60110166,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
3,100,2.13787422,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
4,100,2.67700120,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
5,100,3.21085135,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
6,100,3.74806297,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
7,100,4.28358303,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
8,100,4.82018613,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
9,100,5.35593594,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
10,100,5.88762149,0.00100000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
11,100,6.42398313,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
12,100,6.96133627,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
13,100,7.49798397,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
14,100,8.03355952,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
15,100,8.57896945,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
16,100,9.11470553,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
17,100,9.64710912,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
18,100,10.18066920,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
19,100,10.71235188,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
20,100,11.24751630,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
21,100,11.78049410,0.00050000,64,495,50,gmp,8,nan,nan,,nan,nan,nan,,nan,nan
