EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.15560803,0.00100000,64,402,50,lstm,8,29144.02870390,34107.44921875,-0.018617446,0.01758316,0.05849043,28323.25781250,-0.020468775,0.01882585,0.05086606
1,100,0.31097202,0.00100000,64,402,50,lstm,8,29065.26487139,34115.19531250,-0.016143523,0.01540411,0.05683244,28336.48632812,-0.018005047,0.01743349,0.04916257
2,100,0.46745363,0.00100000,64,402,50,lstm,8,29058.96552022,34051.62109375,-0.025889229,0.02406184,0.06739885,28263.99414062,-0.029952154,0.02764873,0.06134544
3,100,0.62180512,0.00100000,64,402,50,lstm,8,29055.00737169,34055.33984375,-0.02534784,0.02333561,0.06566454,28263.65625000,-0.030283114,0.02783374,0.06108926
4,100,0.77718865,0.00100000,64,402,50,lstm,8,29060.84370677,34065.43750000,-0.023991615,0.02206867,0.06392825,28272.86718750,-0.028749831,0.02660049,0.05981475
5,100,0.93411815,0.00100000,64,402,50,lstm,8,29051.28089905,34061.14453125,-0.02464521,0.02251981,0.06468857,28269.16406250,-0.029419262,0.02710641,0.06044970
6,100,1.09784946,0.00100000,64,402,50,lstm,8,29058.14681286,34078.60546875,-0.021754269,0.02115991,0.06234588,28284.03125000,-0.027584914,0.02428584,0.05639348
7,100,1.25210388,0.00100000,64,402,50,lstm,8,29057.15788820,34069.89062500,-0.023163846,0.02179379,0.06337176,28274.06250000,-0.029206868,0.02627178,0.05896323
8,100,1.40775876,0.00100000,64,402,50,lstm,8,29049.52270211,34118.19140625,-0.017201899,0.01517855,0.05437856,28303.49023438,-0.023141833,0.02211279,0.05295102
9,100,1.56278255,0.00100000,64,402,50,lstm,8,29048.71336619,34117.19921875,-0.017393876,0.01575368,0.05465916,28302.99218750,-0.023692302,0.02296847,0.05395261
10,100,1.71822630,0.00100000,64,402,50,lstm,8,29045.98375787,34113.38671875,-0.01797596,0.01529751,0.05358601,28297.69726562,-0.024976533,0.02434808,0.05601629
11,100,1.87327056,0.00100000,64,402,50,lstm,8,29045.90246201,34090.32812500,-0.021280203,0.01755435,0.05576814,28274.06445312,-0.030042563,0.02779745,0.05974169
12,100,2.02907163,0.00100000,64,402,50,lstm,8,29044.67911869,34100.21484375,-0.020041807,0.01577693,0.05320645,28290.05468750,-0.02733047,0.02577730,0.05716407
13,100,2.18383795,0.00100000,64,402,50,lstm,8,29046.06669744,34086.54296875,-0.021946361,0.01749816,0.05475553,28278.20312500,-0.029878363,0.02703138,0.05874979
14,100,2.33974373,0.00100000,64,402,50,lstm,8,29045.71993891,34096.67968750,-0.02052752,0.01631974,0.05309213,28284.86914062,-0.028664386,0.02665947,0.05768428
15,100,2.49341682,0.00100000,64,402,50,lstm,8,29048.40545612,34093.68359375,-0.0208995,0.01726468,0.05391582,28283.96289062,-0.029142398,0.02665122,0.05789097
16,100,2.64774370,0.00100000,64,402,50,lstm,8,29041.50818931,34093.47265625,-0.020787641,0.01764877,0.05486052,28282.47656250,-0.029317532,0.02716429,0.05790020
17,100,2.80200862,0.00100000,64,402,50,lstm,8,29038.60285060,34069.58593750,-0.024033502,0.02059498,0.05708052,28269.08789062,-0.0320969,0.02873730,0.05971620
18,100,2.95781395,0.00100000,64,402,50,lstm,8,29039.81295564,34099.29296875,-0.020287396,0.01578121,0.05146480,28297.63476562,-0.026860787,0.02375571,0.05354518
19,100,3.11283753,0.00100000,64,402,50,lstm,8,29056.73609712,34077.58593750,-0.022948226,0.01914114,0.05560027,28276.53906250,-0.030699426,0.02760668,0.05799531
20,100,3.26754403,0.00100000,64,402,50,lstm,8,29039.40487586,34096.17187500,-0.020677596,0.01657840,0.05237822,28291.53906250,-0.028124962,0.02521878,0.05465536
21,100,3.42488542,0.00100000,64,402,50,lstm,8,29037.21234343,34101.43750000,-0.01981572,0.01624884,0.05280133,28295.25000000,-0.027517553,0.02546238,0.05513539
22,100,3.57825452,0.00100000,64,402,50,lstm,8,29038.31981066,34101.04296875,-0.020017777,0.01505552,0.05013853,28303.89062500,-0.025997978,0.02312580,0.05261470
23,100,3.73300668,0.00100000,64,402,50,lstm,8,29047.83147515,34095.66015625,-0.020540416,0.01665039,0.05285404,28305.08593750,-0.026221536,0.02258979,0.05096374
24,100,3.88631943,0.00100000,64,402,50,lstm,8,29038.24933582,34102.95703125,-0.019529205,0.01571842,0.05104657,28303.83789062,-0.026234668,0.02322749,0.05181786
25,100,4.03943325,0.00100000,64,402,50,lstm,8,29039.52959654,34118.05859375,-0.017775383,0.01269594,0.04783059,28322.02148438,-0.023030518,0.02030009,0.04822117
26,100,4.19221223,0.00100000,64,402,50,lstm,8,29041.73465729,34100.58984375,-0.019889414,0.01538810,0.04999101,28312.34570312,-0.024790261,0.02165656,0.05046625
27,100,4.34564962,0.00100000,64,402,50,lstm,8,29044.71769121,34096.78515625,-0.020479187,0.01581816,0.05005416,28302.43164062,-0.026361596,0.02347487,0.05244730
28,100,4.49812748,0.00100000,64,402,50,lstm,8,29038.13371616,34100.83203125,-0.020177374,0.01529839,0.04880067,28314.21875000,-0.024865631,0.02109955,0.04952558
29,100,4.65125545,0.00100000,64,402,50,lstm,8,29039.69712533,34107.10937500,-0.019433204,0.01391890,0.04677722,28318.50000000,-0.024261693,0.02021705,0.04818575
30,100,4.80388437,0.00100000,64,402,50,lstm,8,29053.99414698,34105.16015625,-0.019418027,0.01406449,0.04669095,28314.16210938,-0.02492775,0.02104155,0.04920967
31,100,4.95945055,0.00100000,64,402,50,lstm,8,29043.39069494,34102.75390625,-0.019645222,0.01402139,0.04718704,28315.03906250,-0.024981113,0.02078325,0.04874081
32,100,5.11189247,0.00100000,64,402,50,lstm,8,29039.39916568,34115.65625000,-0.018256828,0.01291257,0.04582753,28320.80664062,-0.023518559,0.02042341,0.04825901
33,100,5.26498232,0.00100000,64,402,50,lstm,8,29036.43237432,34121.26562500,-0.01758685,0.01208887,0.04466182,28325.83398438,-0.022472017,0.01901028,0.04595439
34,100,5.41833043,0.00100000,64,402,50,lstm,8,29037.67626826,34101.03515625,-0.019942582,0.01576329,0.04917928,28308.79492188,-0.025574967,0.02290251,0.05063882
35,100,5.56980575,0.00100000,64,402,50,lstm,8,29047.75052007,34110.29296875,-0.018868439,0.01426175,0.04716678,28315.02539062,-0.024624605,0.02120665,0.04826636
36,100,5.72284883,0.00100000,64,402,50,lstm,8,29038.01825629,34104.13671875,-0.019708568,0.01493969,0.04744967,28308.66601562,-0.02580514,0.02214721,0.05001739
37,100,5.87613300,0.00100000,64,402,50,lstm,8,29044.05981276,34089.40625000,-0.021510918,0.01679876,0.04931426,28294.51367188,-0.028168801,0.02476771,0.05298720
38,100,6.02961715,0.00100000,64,402,50,lstm,8,29035.94361835,34115.07812500,-0.018409751,0.01385092,0.04699867,28320.39843750,-0.02334686,0.01982212,0.04663649
39,100,6.18265323,0.00100000,64,402,50,lstm,8,29043.14170965,34104.87500000,-0.019680269,0.01536657,0.04845412,28307.96679688,-0.025853047,0.02310205,0.05128551
40,100,6.33593223,0.00100000,64,402,50,lstm,8,29040.27104653,34098.77343750,-0.02057163,0.01626272,0.04912199,28302.32812500,-0.026782053,0.02366620,0.05184773
41,100,6.48831963,0.00100000,64,402,50,lstm,8,29040.49342007,34107.95703125,-0.019420424,0.01514601,0.04695808,28311.00195312,-0.025483593,0.02196913,0.04909934
42,100,6.64109363,0.00100000,64,402,50,lstm,8,29040.52283181,34088.63671875,-0.021810498,0.01814480,0.05011190,28289.63281250,-0.029175177,0.02489865,0.05327394
43,100,6.79347635,0.00100000,64,402,50,lstm,8,29035.05776893,34089.62890625,-0.02180012,0.01745229,0.05027754,28295.00976562,-0.028263975,0.02376351,0.05202349
44,100,6.94899536,0.00100000,64,402,50,lstm,8,29042.97071245,34098.19921875,-0.020584006,0.01721200,0.04981573,28299.15625000,-0.027193364,0.02445493,0.05229374
45,100,7.10207591,0.00050000,64,402,50,lstm,8,29040.56647491,34105.93359375,-0.01969286,0.01583184,0.04827326,28306.21679688,-0.026068004,0.02287318,0.05052247
46,100,7.25518902,0.00050000,64,402,50,lstm,8,29041.25168906,34108.07421875,-0.01932497,0.01525775,0.04833886,28306.06835938,-0.025731597,0.02334090,0.05131988
47,100,7.40850938,0.00050000,64,402,50,lstm,8,29036.90861638,34110.25781250,-0.019180499,0.01471604,0.04707533,28314.17187500,-0.024935175,0.01972237,0.04720080
48,100,7.56185947,0.00050000,64,402,50,lstm,8,29037.93086370,34097.10937500,-0.020911999,0.01750984,0.04960298,28296.03320312,-0.027855977,0.02396910,0.05198989
49,100,7.71477473,0.00050000,64,402,50,lstm,8,29040.86289978,34095.73828125,-0.020914115,0.01713310,0.04928857,28292.68164062,-0.028206885,0.02471008,0.05309656
50,100,7.86743668,0.00050000,64,402,50,lstm,8,29047.97492260,34095.55859375,-0.020969497,0.01749440,0.05005873,28292.90625000,-0.028174154,0.02509057,0.05361193
51,100,8.01916385,0.00050000,64,402,50,lstm,8,29036.15641700,34096.33203125,-0.020835914,0.01764708,0.04977539,28294.35742188,-0.027921736,0.02439215,0.05251383
52,100,8.17290063,0.00050000,64,402,50,lstm,8,29032.39828152,34105.67578125,-0.019653156,0.01557581,0.04750227,28302.93750000,-0.026507284,0.02294068,0.05111936
53,100,8.32478147,0.00050000,64,402,50,lstm,8,29036.23330137,34103.76171875,-0.019906772,0.01621863,0.04828812,28300.79687500,-0.026896596,0.02340655,0.05168430
