EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.15896880,0.00100000,64,354,50,qgru_amp1,8,29216.58313666,34237.12890625,0.00016323855,-0.00000539,0.03346998,28441.70117188,0.00027931266,-0.00017388,0.02597116
1,100,0.31757601,0.00100000,64,354,50,qgru_amp1,8,29220.77452893,34237.16015625,0.00017444373,-0.00003716,0.03348090,28441.87304688,0.00032244108,-0.00027117,0.02596616
2,100,0.47597620,0.00100000,64,354,50,qgru_amp1,8,29222.38803652,34237.07812500,0.00016904093,-0.00003227,0.03348526,28441.90625000,0.00032152148,-0.00028146,0.02596423
3,100,0.63465160,0.00100000,64,354,50,qgru_amp1,8,29221.80618540,34237.12109375,0.00018022631,-0.00006086,0.03348947,28441.86914062,0.00031896483,-0.00029694,0.02595978
4,100,0.79239285,0.00100000,64,354,50,qgru_amp1,8,29218.56123734,34236.51953125,0.00012685948,0.00005996,0.03360609,28442.07617188,0.00034328038,-0.00024485,0.02595762
5,100,0.95001332,0.00100000,64,354,50,qgru_amp1,8,29234.03181881,34236.94140625,4.8500326e-05,0.00002049,0.03362093,28442.17773438,0.0005225326,-0.00032319,0.02594628
6,100,1.11696463,0.00100000,64,354,50,qgru_amp1,8,29215.85559336,34238.64062500,0.00029161543,-0.00027937,0.03358789,28438.60351562,-2.3235687e-05,0.00003618,0.02636441
7,100,1.27382073,0.00100000,64,354,50,qgru_amp1,8,29220.54394616,34238.51562500,0.00029072008,-0.00002473,0.03368829,28440.00976562,3.3076198e-05,0.00043585,0.02643120
8,100,1.43336716,0.00100000,64,354,50,qgru_amp1,8,29217.86522335,34239.51953125,0.0006182414,-0.00033470,0.03292286,28435.57812500,-0.0005447926,0.00067679,0.02638772
9,100,1.59033943,0.00100000,64,354,50,qgru_amp1,8,29215.32326084,34235.88671875,0.00015191486,0.00083877,0.03420143,28441.98632812,0.0003515567,-0.00023550,0.02593498
10,100,1.74747286,0.00100000,64,354,50,qgru_amp1,8,29223.35576714,34236.22265625,4.9758324e-05,0.00009989,0.03368531,28437.74414062,-0.000112968555,0.00006805,0.02634395
11,100,1.90342855,0.00100000,64,354,50,qgru_amp1,8,29213.44384766,34238.25781250,0.0005409394,0.00069369,0.03433113,28441.65039062,0.00022418234,0.00005279,0.02561333
12,100,2.06024860,0.00100000,64,354,50,qgru_amp1,8,29221.31655926,34239.19140625,0.00048186572,-0.00041949,0.03330706,28439.11914062,-4.9738555e-05,0.00000190,0.02639715
13,100,2.21802793,0.00100000,64,354,50,qgru_amp1,8,29220.69838079,34236.81640625,8.260453e-05,-0.00003914,0.03364856,28437.61914062,-0.00027421978,0.00023776,0.02654410
14,100,2.37417283,0.00100000,64,354,50,qgru_amp1,8,29214.42106332,34238.88671875,0.0003222931,-0.00016481,0.03387027,28438.03125000,-0.0003491063,0.00003757,0.02615823
15,100,2.52983207,0.00100000,64,354,50,qgru_amp1,8,29214.96720717,34236.87890625,0.00023776662,0.00043669,0.03452844,28441.16210938,0.000362796,-0.00046324,0.02570591
16,100,2.68599633,0.00100000,64,354,50,qgru_amp1,8,29213.69086117,34239.18750000,0.0004916542,-0.00031972,0.03288676,28438.85937500,-0.0001109665,-0.00020470,0.02629052
17,100,2.84188871,0.00100000,64,354,50,qgru_amp1,8,29214.15043132,34238.41015625,0.000348906,0.00015711,0.03409504,28438.13281250,-0.00014444729,-0.00005439,0.02604730
