I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,-0.526223,-0.7088966
-100.95529039546578,-835.9098044744567,-0.5079597,-0.76551557
2035.2586543725904,-11694.660839410755,-0.4498991,-0.75816417
3646.505089084224,-19403.606814008523,-0.2976516,-0.64872205
4498.567740021955,-21446.94189161275,-0.18936384,-0.5857279
4442.0327774004945,-16891.839188969334,-0.3263154,-0.6965836
3408.2506037509247,-6828.615842349305,-0.44670486,-0.8013478
1465.870816542163,5879.636112631927,-0.43306988,-0.8180405
-1070.1260781919373,17336.042466709383,-0.34008837,-0.7175399
-3662.6579355474983,23805.25747525083,-0.06662744,-0.52395904
-5580.808453061349,22920.88913138655,-0.05319804,-0.5572606
-6121.928809581045,14569.867509873622,-0.33138356,-0.7172216
-4890.2742667563625,1053.9732317286628,-0.4373881,-0.80116874
-1958.532633672036,-13467.435738755135,-0.3813281,-0.761615
1966.6090569036735,-24253.4989646067,-0.042034566,-0.5178128
5734.260494462456,-27536.565008267247,0.2741521,-0.41083252
8072.385020021444,-21822.495571883883,-0.007871807,-0.59384483
8003.735422552527,-8569.085048767136,-0.37997657,-0.76499337
5277.9425818749505,8136.996405874542,-0.41095182,-0.7678957
524.967510056422,22832.04847583854,-0.096901715,-0.57011414
-4841.815727366539,30456.192006504116,0.5186851,-0.29210266
-9053.67044266537,28089.799999634397,0.45751894,-0.3883732
-10576.076221828996,16108.42613550052,-0.13847205,-0.707231
-8657.925704315145,-1801.0423806551096,-0.40439364,-0.78256774
-3682.848993626591,-19750.893012968925,-0.18819717,-0.649002
2883.283093694503,-31570.73841247006,0.6078367,-0.25134006
8928.485882574994,-32984.11247800658,0.9246738,-0.14527485
12356.92754440501,-23130.87613540912,0.25495112,-0.5522817
11844.074669196045,-5027.573461694195,-0.30414176,-0.79029167
7329.354082710815,15312.898447184249,-0.26504025,-0.7175031
96.91707877964714,30920.58634232326,0.545547,-0.29938337
-7567.608568044115,36251.025675203855,1.2468914,0.05444604
