I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,0.31157944,0.43931615
-100.95529039546578,-835.9098044744567,0.53906375,0.535979
2035.2586543725904,-11694.660839410755,0.974911,0.59664154
3646.505089084224,-19403.606814008523,1.0728683,0.461398
4498.567740021955,-21446.94189161275,0.8381633,0.25242287
4442.0327774004945,-16891.839188969334,0.5355228,0.20662317
3408.2506037509247,-6828.615842349305,0.27201152,0.3078869
1465.870816542163,5879.636112631927,0.072116345,0.31372848
-1070.1260781919373,17336.042466709383,0.02440685,0.17710686
-3662.6579355474983,23805.25747525083,-0.11857027,0.017579973
-5580.808453061349,22920.88913138655,-0.35203302,-0.031175673
-6121.928809581045,14569.867509873622,-0.36160457,0.15328726
-4890.2742667563625,1053.9732317286628,0.16757447,0.49070817
-1958.532633672036,-13467.435738755135,1.1851633,0.7580054
1966.6090569036735,-24253.4989646067,1.4701016,0.5334359
5734.260494462456,-27536.565008267247,1.0584911,0.0634678
8072.385020021444,-21822.495571883883,0.5505954,-0.17089814
8003.735422552527,-8569.085048767136,0.15517077,-0.1849978
5277.9425818749505,8136.996405874542,-0.05892849,-0.13452661
524.967510056422,22832.04847583854,0.067587376,-0.08253169
-4841.815727366539,30456.192006504116,-0.13845855,-0.18404913
-9053.67044266537,28089.799999634397,-0.597124,-0.23138517
-10576.076221828996,16108.42613550052,-0.7002491,0.04906228
-8657.925704315145,-1801.0423806551096,-0.02304256,0.4802246
-3682.848993626591,-19750.893012968925,1.3971648,0.7476207
2883.283093694503,-31570.73841247006,1.5281458,0.25948602
8928.485882574994,-32984.11247800658,0.9192462,-0.33376968
12356.92754440501,-23130.87613540912,0.29812092,-0.5827656
11844.074669196045,-5027.573461694195,-0.16249633,-0.710583
7329.354082710815,15312.898447184249,-0.20640606,-0.53432035
96.91707877964714,30920.58634232326,0.13863778,-0.29697472
-7567.608568044115,36251.025675203855,-0.31925607,-0.39419806
-13099.95848171564,29168.002501057977,-0.88946927,-0.37050402
-14545.638240178709,11835.998245964409,-0.8835387,0.060024828
-11206.0372338967,-9950.153421377106,0.26142856,0.5353532
-3965.523806733896,-28687.455318775555,1.708749,0.5864956
4938.732806146186,-37781.50787759911,1.3950994,-0.15134603
12619.411299433224,-33884.633668334136,0.6377725,-0.6800103
16463.78875769256,-18139.646578257292,-0.06310314,-0.96725976
15022.147210845307,4106.861213287548,-0.5152155,-1.2940947
8528.702932608949,25158.05836655007,-0.17644376,-0.83233523
-1070.1260781919373,37615.94120135055,0.14689341,-0.47458637
-10745.681109693378,37042.51515190431,-0.6018219,-0.54697907
-17299.698562167017,23530.65908537516,-1.111256,-0.32233775
-18414.24496813296,1748.5456296494674,-0.83519256,0.13369119
-13495.703220065863,-20691.796319454665,0.96894383,0.5849105
-3892.8359976491606,-35911.815899475085,1.7929095,0.26833996
7434.3475847221,-38560.88271945211,1.1185343,-0.46620774
16815.11316826878,-27710.208107747447,0.23826537,-0.91862833
21051.197153262525,-7212.245945852075,-0.62819993,-1.6758949
18511.162046912606,15692.4903390712,-0.73626304,-1.8672761
9707.86072442799,32931.615727000935,-0.06983256,-1.0639979
-2729.831052293395,38476.08027551992,0.0006515384,-0.595505
-14836.38947651765,30492.535911046485,-0.8770751,-0.5173441
-22581.679355657787,11928.877113128236,-1.2004803,-0.14133877
-23163.18182833567,-10551.846952134085,-0.4700302,0.11655742
-16039.776538031603,-28978.2065551145,1.5629568,0.49596584
-3206.3400229599933,-36941.55986150884,1.6701941,0.012266159
11302.95431267635,-31813.031109419175,0.7495481,-0.6192117
22718.97855059562,-15656.146434528831,-0.40366107,-1.4898885
27043.90319113737,5621.190569219535,-1.1182035,-2.652659
22464.571218799047,24410.989217623624,-0.87115514,-2.461814
10091.49082793076,34175.384904673076,-0.15549284,-1.2880821
-6271.342639366334,31708.037607407892,-0.3056392,-0.61190474
-21269.26058051673,18232.52544542112,-1.1141685,-0.2518623
-29757.581396967493,-1195.3106382823148,-1.1244496,-0.16520888
-28517.850430911178,-19565.135278641268,0.0752936,0.019027889
-17517.761989421222,-30456.192006504116,1.7785476,0.35474268
-68.64959746891672,-30314.854599950464,1.4607402,-0.10617685
18167.914059568026,-19605.517394799455,0.19644982,-0.9683229
30973.0830933289,-2499.652990191733,-1.2031721,-2.7672415
33710.99056885394,14747.54882096964,-1.3603598,-3.5477347
25004.606325148965,26086.847038188356,-1.0934508,-3.0273924
7365.697987253183,27823.27803299037,-0.62959266,-1.5204095
-13483.58858521841,19807.427975590384,-0.81407154,-0.39666224
-30484.459487814845,5326.401121264775,-1.2614222,-0.13242751
-37603.82656650309,-10224.751811252774,-0.8917872,-0.3509797
-32010.90347859429,-21370.2158709122,0.42861128,-0.08047521
-15183.675675478053,-24471.562391860905,1.7340318,0.26104033
7442.424007953738,-18939.21247818938,1.0467778,-0.34801853
28202.86992487732,-7224.360580699531,-0.7908299,-2.219832
39836.9575900508,6202.693041897417,-1.5391968,-3.8105216
38007.64772808496,16568.782259703843,-1.5518843,-4.232899
22973.385882392195,20510.07679674283,-1.4599092,-3.3525352
-411.8975848135004,17138.170097534272,-1.3438431,-1.4137567
-24217.15506006433,8181.416733648547,-1.2990756,-0.073824644
-40164.052730932104,-2830.7863426888603,-1.2069682,-0.24728006
-42514.29189133855,-11945.029959591511,-0.60888803,-0.46243674
-30157.364346933537,-16197.266791048529,0.59120756,-0.061627626
-7119.367078688247,-14594.096779568534,1.4573995,0.15001029
18765.56937870918,-8246.028119501645,0.08612397,-1.2584379
38512.42418006229,209.9870040225688,-1.366695,-3.3915734
45139.12944162066,7688.754916518674,-1.66163,-4.4907227
36174.299654503295,11775.425071727128,-1.6693355,-4.3995895
14573.90572148944,11504.86489346728,-1.7179197,-2.9275432
-12247.895830777908,7511.073605422654,-1.6509529,-0.62771857
-34974.95080460516,1615.2846463274525,-1.346763,0.06560463
