I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,0.4060109,-0.024571031
-100.95529039546578,-835.9098044744567,0.25806448,0.19384852
2035.2586543725904,-11694.660839410755,0.16118038,-0.24544612
3646.505089084224,-19403.606814008523,0.63863546,-0.0016535223
4498.567740021955,-21446.94189161275,0.27309194,-0.03476146
4442.0327774004945,-16891.839188969334,0.46078253,0.05934815
3408.2506037509247,-6828.615842349305,0.13090067,0.27054405
1465.870816542163,5879.636112631927,0.08142358,0.63379437
-1070.1260781919373,17336.042466709383,0.15899374,0.284214
-3662.6579355474983,23805.25747525083,0.59176046,0.17555812
-5580.808453061349,22920.88913138655,0.5922487,-0.22269258
-6121.928809581045,14569.867509873622,0.4926022,-0.1294924
-4890.2742667563625,1053.9732317286628,0.1961627,0.060502827
-1958.532633672036,-13467.435738755135,0.32081762,0.017662376
1966.6090569036735,-24253.4989646067,0.4671792,-0.017961353
5734.260494462456,-27536.565008267247,0.5506568,-0.18143594
8072.385020021444,-21822.495571883883,0.5160176,0.033733457
8003.735422552527,-8569.085048767136,0.045302108,0.33821824
5277.9425818749505,8136.996405874542,0.08142358,0.63379437
524.967510056422,22832.04847583854,0.022300303,0.39679414
-4841.815727366539,30456.192006504116,0.5480726,0.1321246
-9053.67044266537,28089.799999634397,0.5922487,-0.22269258
-10576.076221828996,16108.42613550052,0.4926022,-0.1294924
-8657.925704315145,-1801.0423806551096,0.3185538,0.06471476
-3682.848993626591,-19750.893012968925,0.32081762,0.017662376
2883.283093694503,-31570.73841247006,0.59807837,0.029697955
8928.485882574994,-32984.11247800658,0.5506568,-0.18143594
12356.92754440501,-23130.87613540912,0.33197573,0.17481104
11844.074669196045,-5027.573461694195,0.045302108,0.33821824
7329.354082710815,15312.898447184249,0.08142358,0.63379437
96.91707877964714,30920.58634232326,0.14046314,0.30935305
-7567.608568044115,36251.025675203855,0.4314168,-0.14587656
-13099.95848171564,29168.002501057977,0.6806917,-0.23326114
