EPOCH,N_EPOCH,TIME:,LR,BATCH_SIZE,N_PARAM,FRAME_LENGTH,BACKBONE,HIDDEN_SIZE,TRAIN_LOSS,VAL_LOSS,VAL_NMSE,VAL_MAIN_METRICS,VAL_REDUCTION_LEVEL,TEST_LOSS,TEST_NMSE,TEST_MAIN_METRICS,TEST_REDUCTION_LEVEL
0,100,0.01921415,0.00100000,64,34,50,linear,8,68016235127317874467667968.00000000,72317421039892153461899264.00000000,213.35056,-202.52157966,-203.00190397,64463987228299380649885696.00000000,213.7674,-203.16607259,-203.47090547
1,100,0.03819932,0.00100000,64,34,50,linear,8,64967704219126446132559872.00000000,69056949801491953358995456.00000000,213.15018,-202.32122105,-202.80154558,61557610465766072245026816.00000000,213.56702,-202.96571391,-203.27054653
2,100,0.05556505,0.00100000,64,34,50,linear,8,62060628462902977497137152.00000000,65943102508361633627111424.00000000,212.9498,-202.12084218,-202.60116700,58781919661622959158591488.00000000,213.36664,-202.76533472,-203.07016720
3,100,0.07285653,0.00100000,64,34,50,linear,8,59234339670909555925057536.00000000,62969159933972345562071040.00000000,212.74939,-201.92043725,-202.40076189,56130896565615993649364992.00000000,213.16623,-202.56492742,-202.86975974
4,100,0.09048993,0.00100000,64,34,50,linear,8,56545834141023904718651392.00000000,60129648007020215854432256.00000000,212.54901,-201.72003252,-202.20035788,53599851093064435063848960.00000000,212.96585,-202.36452865,-202.66936147
5,100,0.10882560,0.00100000,64,34,50,linear,8,54000797758848359186038784.00000000,57418317892950275393585152.00000000,212.3486,-201.51965621,-201.99998115,51182917179352843764629504.00000000,212.76546,-202.16415089,-202.46898375
6,100,0.12731228,0.00100000,64,34,50,linear,8,51575457448089918206115840.00000000,54828819300115149666385920.00000000,212.1482,-201.31924168,-201.79956659,48874629976549383297040384.00000000,212.56503,-201.96373602,-202.26856867
7,100,0.14461301,0.00100000,64,34,50,linear,8,49235168891313461638725632.00000000,52356083985580586973528064.00000000,211.94778,-201.11883830,-201.59916342,46670423915495810547056640.00000000,212.36462,-201.76333337,-202.06816625
8,100,0.16209137,0.00100000,64,34,50,linear,8,47020260470601001325297664.00000000,49995329630945478113755136.00000000,211.7474,-200.91844354,-201.39876860,44566065468427209172582400.00000000,212.16425,-201.56293954,-201.86777227
9,100,0.17983528,0.00100000,64,34,50,linear,8,44910888785061998116208640.00000000,47740989931185581229867008.00000000,211.54703,-200.71806376,-201.19838930,42556532509269511748190208.00000000,211.96387,-201.36255941,-201.66739219
10,100,0.19744378,0.00100000,64,34,50,linear,8,42872569006737730880667648.00000000,45588236451039602846728192.00000000,211.34665,-200.51768644,-200.99801203,40637550005083636085293056.00000000,211.76349,-201.16218118,-201.46701355
11,100,0.21477343,0.00100000,64,34,50,linear,8,40937139430771892993130496.00000000,43532397552570876020391936.00000000,211.14624,-200.31728748,-200.79761196,38804930544964850115674112.00000000,211.56308,-200.96178081,-201.26661355
12,100,0.23223550,0.00050000,64,34,50,linear,8,39564626274424541704880128.00000000,42539118782863929931464704.00000000,211.04599,-200.21715735,-200.69748332,37919440712566607364227072.00000000,211.46283,-200.86166108,-201.16649382
13,100,0.25093145,0.00050000,64,34,50,linear,8,38647504527838337654849536.00000000,41568451109705333325430784.00000000,210.94574,-200.11696367,-200.59729075,37054166205830141067657216.00000000,211.36258,-200.76145716,-201.06628940
14,100,0.26889125,0.00050000,64,34,50,linear,8,37769231446629379664248832.00000000,40622234595816438730063872.00000000,210.84576,-200.01689273,-200.49721865,36210718809018891598036992.00000000,211.26259,-200.66139130,-200.96622305
15,100,0.28651098,0.00050000,64,34,50,linear,8,36909869481656507468611584.00000000,39694100502805797922668544.00000000,210.74538,-199.91657393,-200.39689936,35383301632807695728771072.00000000,211.1622,-200.56106490,-200.86589756
16,100,0.30419838,0.00050000,64,34,50,linear,8,36082161231796592277716992.00000000,38789518290291265785298944.00000000,210.64526,-199.81638497,-200.29671293,34577105129810293484945408.00000000,211.06209,-200.46088755,-200.76571959
17,100,0.32181915,0.00050000,64,34,50,linear,8,35239443450650974614454272.00000000,37905292059862072138137600.00000000,210.5451,-199.71632237,-200.19664935,33788838862052536925290496.00000000,210.96194,-200.36082186,-200.66565442
18,100,0.33968672,0.00050000,64,34,50,linear,8,34440823324783901547692032.00000000,37039032958160671594250240.00000000,210.4447,-199.61578225,-200.09610637,33016598203208815538601984.00000000,210.86153,-200.26027004,-200.56510322
19,100,0.35773555,0.00050000,64,34,50,linear,8,33649985643252105672130560.00000000,36195758499575113151676416.00000000,210.34467,-199.51593334,-199.99626302,32265054791215796268826624.00000000,210.76154,-200.16044277,-200.46527555
