I,Q,I_pim,Q_pim
-2422.9269694911786,9861.312765829098,387040840000.0,-383757420000.0
-100.95529039546578,-835.9098044744567,-224410700.0,350038460.0
2035.2586543725904,-11694.660839410755,-626590740000.0,690625640000.0
3646.505089084224,-19403.606814008523,-2876521000000.0,3108708000000.0
4498.567740021955,-21446.94189161275,-3918083000000.0,4102247200000.0
4442.0327774004945,-16891.839188969334,-1961871800000.0,1892971700000.0
3408.2506037509247,-6828.615842349305,-151923080000.0,91445880000.0
1465.870816542163,5879.636112631927,81608500000.0,-143673620000.0
-1070.1260781919373,17336.042466709383,1985567800000.0,-2533740000000.0
-3662.6579355474983,23805.25747525083,5249529500000.0,-5949770000000.0
-5580.808453061349,22920.88913138655,4854994400000.0,-4830429000000.0
-6121.928809581045,14569.867509873622,1388433900000.0,-1003814450000.0
-4890.2742667563625,1053.9732317286628,10653047000.0,57498200000.0
-1958.532633672036,-13467.435738755135,-944214300000.0,1509093000000.0
1966.6090569036735,-24253.4989646067,-5453426700000.0,6795344000000.0
5734.260494462456,-27536.565008267247,-8287714000000.0,8696615700000.0
8072.385020021444,-21822.495571883883,-4504596000000.0,3604637300000.0
8003.735422552527,-8569.085048767136,-452726720000.0,-27329432000.0
5277.9425818749505,8136.996405874542,287715260000.0,-687261300000.0
524.967510056422,22832.04847583854,4515791000000.0,-6356489000000.0
-4841.815727366539,30456.192006504116,11011286000000.0,-12392946000000.0
-9053.67044266537,28089.799999634397,9322406000000.0,-8142614000000.0
-10576.076221828996,16108.42613550052,2289755500000.0,-827166400000.0
-8657.925704315145,-1801.0423806551096,-49842307000.0,467342600000.0
-3682.848993626591,-19750.893012968925,-3016345000000.0,5014062400000.0
2883.283093694503,-31570.73841247006,-12051019000000.0,14825122000000.0
8928.485882574994,-32984.11247800658,-14664643000000.0,13975035000000.0
12356.92754440501,-23130.87613540912,-6079191000000.0,3332417500000.0
11844.074669196045,-5027.573461694195,-326113330000.0,-708050550000.0
7329.354082710815,15312.898447184249,1662861300000.0,-3525944000000.0
96.91707877964714,30920.58634232326,11213405000000.0,-15438104000000.0
-7567.608568044115,36251.025675203855,18912928000000.0,-19831047000000.0
-13099.95848171564,29168.002501057977,11382622000000.0,-7723823400000.0
-14545.638240178709,11835.998245964409,1605944300000.0,810934670000.0
-11206.0372338967,-9950.153421377106,-834316860000.0,2627513000000.0
-3965.523806733896,-28687.455318775555,-9108916000000.0,14456132000000.0
4938.732806146186,-37781.50787759911,-20844750000000.0,24371601000000.0
12619.411299433224,-33884.633668334136,-16891870000000.0,13451871000000.0
16463.78875769256,-18139.646578257292,-4181484000000.0,-85193170000.0
15022.147210845307,4106.861213287548,358533800000.0,-2638681500000.0
8528.702932608949,25158.05836655007,6702335000000.0,-12741150000000.0
-1070.1260781919373,37615.94120135055,20213832000000.0,-26838110000000.0
-10745.681109693378,37042.51515190431,20987253000000.0,-19372770000000.0
-17299.698562167017,23530.65908537516,7691501600000.0,-1856891500000.0
-18414.24496813296,1748.5456296494674,260283700000.0,3355321000000.0
-13495.703220065863,-20691.796319454665,-4746442000000.0,11364712000000.0
-3892.8359976491606,-35911.815899475085,-17747495000000.0,27340543000000.0
7434.3475847221,-38560.88271945211,-22618660000000.0,24274333000000.0
16815.11316826878,-27710.208107747447,-11136542000000.0,4868468600000.0
21051.197153262525,-7212.245945852075,-1409853600000.0,-4208063400000.0
18511.162046912606,15692.4903390712,3447830300000.0,-11153692000000.0
9707.86072442799,32931.615727000935,14663831000000.0,-26859799000000.0
-2729.831052293395,38476.08027551992,21736622000000.0,-27426873000000.0
-14836.38947651765,30492.535911046485,13390807000000.0,-8317827000000.0
-22581.679355657787,11928.877113128236,3029247000000.0,4522869000000.0
-23163.18182833567,-10551.846952134085,-2513708300000.0,12291198000000.0
-16039.776538031603,-28978.2065551145,-11965299000000.0,26783234000000.0
-3206.3400229599933,-36941.55986150884,-19243662000000.0,28997828000000.0
11302.95431267635,-31813.031109419175,-13822950000000.0,11372042000000.0
22718.97855059562,-15656.146434528831,-4612523000000.0,-3863236600000.0
27043.90319113737,5621.190569219535,1517606400000.0,-14240253000000.0
22464.571218799047,24410.989217623624,10059848000000.0,-28369092000000.0
10091.49082793076,34175.384904673076,16393161000000.0,-30040178000000.0
-6271.342639366334,31708.037607407892,12600255000000.0,-13425466000000.0
-21269.26058051673,18232.52544542112,5516100600000.0,2268343600000.0
-29757.581396967493,-1195.3106382823148,-262421970000.0,15912071000000.0
-28517.850430911178,-19565.135278641268,-8696007000000.0,32028502000000.0
-17517.761989421222,-30456.192006504116,-14146804000000.0,32150083000000.0
-68.64959746891672,-30314.854599950464,-10567300000000.0,14534298000000.0
18167.914059568026,-19605.517394799455,-5381949000000.0,-264997030000.0
30973.0830933289,-2499.652990191733,-1073866600000.0,-16149282000000.0
33710.99056885394,14747.54882096964,7332318700000.0,-36953366000000.0
25004.606325148965,26086.847038188356,12748028000000.0,-36727550000000.0
7365.697987253183,27823.27803299037,8710512400000.0,-15545185000000.0
-13483.58858521841,19807.427975590384,4354743200000.0,-1412587600000.0
-30484.459487814845,5326.401121264775,2089459900000.0,14335956000000.0
-37603.82656650309,-10224.751811252774,-5587525400000.0,41314150000000.0
-32010.90347859429,-21370.2158709122,-11757372000000.0,44071955000000.0
-15183.675675478053,-24471.562391860905,-7632351400000.0,17891267000000.0
7442.424007953738,-18939.21247818938,-2991122300000.0,2287555000000.0
28202.86992487732,-7224.360580699531,-2449265400000.0,-10725496000000.0
39836.9575900508,6202.693041897417,3481609400000.0,-42931797000000.0
38007.64772808496,16568.782259703843,10458537000000.0,-52848595000000.0
22973.385882392195,20510.07679674283,7263455500000.0,-22803580000000.0
-411.8975848135004,17138.170097534272,1911167600000.0,-2550574000000.0
-24217.15506006433,8181.416733648547,2111549700000.0,6427171600000.0
-40164.052730932104,-2830.7863426888603,-1396072600000.0,40282385000000.0
-42514.29189133855,-11945.029959591511,-8397250400000.0,60373770000000.0
-30157.364346933537,-16197.266791048529,-7012560000000.0,30443670000000.0
-7119.367078688247,-14594.096779568534,-1449723200000.0,3094973000000.0
18765.56937870918,-8246.028119501645,-1355909200000.0,-2785582000000.0
38512.42418006229,209.9870040225688,-184266010000.0,-33406916000000.0
45139.12944162066,7688.754916518674,5613917000000.0,-63468430000000.0
36174.299654503295,11775.425071727128,6187217600000.0,-39336770000000.0
14573.90572148944,11504.86489346728,1477956000000.0,-4988245400000.0
-12247.895830777908,7511.073605422654,601520900000.0,664565700000.0
-34974.95080460516,1615.2846463274525,978075300000.0,23921571000000.0
-45651.98231682963,-3969.5620183497144,-2654360600000.0,60128007000000.0
-40527.49177635578,-7458.576854417011,-4439970000000.0,46642900000000.0
-21354.06302444892,-8060.270385173988,-1533924700000.0,8659524000000.0
5181.025503095304,-6081.546693422859,-148994130000.0,9542563000.0
29814.116359588956,-2632.9139735137474,-1036062360000.0,-14316096000000.0
43984.20091949653,912.6358251750106,219347860000.0,-50462570000000.0
42833.31060898822,3444.5945082932926,1994014300000.0,-49341293000000.0
26894.489361352084,4462.223835479587,1152180600000.0,-13358846000000.0
1865.6537665082076,4094.746578440092,31249244000.0,-65129070000.0
-23445.856641442973,2859.053823999591,674271460000.0,6782301000000.0
-40252.893386480115,1381.068372609972,1195513100000.0,36836530000000.0
-42881.76914837804,84.80244393219125,476599120000.0,45809950000000.0
-30702.522915069057,-908.597613559192,-171818500000.0,17304288000000.0
-8274.295600812375,-1683.9342437963692,-42419760000.0,405821620000.0
16407.253795071098,-2346.200948790625,-268337090000.0,-2287661500000.0
34752.84916573514,-2855.0156123837723,-1540503600000.0,-22785909000000.0
40640.5617015987,-2980.20017247415,-2234432600000.0,-36699803000000.0
32451.06854471852,-2422.9269694911786,-1155165300000.0,-18663900000000.0
13499.741431681685,-981.2854226439274,-81286900000.0,-1345820000000.0
-9283.848504767033,1163.0049453557658,42922310000.0,420011800000.0
-27936.34795823329,3472.8619896040227,1161195700000.0,11452567000000.0
-36275.25494489876,5132.566963705481,2870966000000.0,24751628000000.0
-31950.33030435701,5350.630390959686,2307496000000.0,16591928000000.0
-17089.71155814445,3755.536802711327,463846150000.0,2446710800000.0
2665.219666440297,589.5788959095202,1561216500.0,-13843331000.0
